episode_id,size_bucket,n_planets,orbital_share,omega
75760975,medium,28,0.4286,0.033484704317697
75761040,medium,32,0.375,0.0374812231614292
75773401,medium,28,0.4286,0.0490157169197161
75776178,medium,32,0.375,0.0321177331927059
75776353,medium,28,0.4286,0.0292852052682485
75777084,large,36,0.4444,0.0388924465525815
75777398,large,36,0.4444,0.0348349580217551
75778169,medium,32,0.375,0.0277202768289523
75778542,small,24,0.5,0.0257266439635184
75778962,medium,32,0.375,0.0396134866334699
75781174,small,24,0.1667,0.0371518405834003
75781277,small,24,0.3333,0.0364810968006051
75783574,medium,32,0.375,0.0499487444154899
75783641,large,36,0.4444,0.0279792295252568
75784201,medium,32,0.5,0.0294226708874802
75785726,medium,28,0.4286,0.0378658139635284
75787078,large,36,0.4444,0.0470745408684221
75789044,large,36,0.4444,0.0378409528127399
75791936,small,24,0.3333,0.0282592714088129
75792704,medium,28,0.4286,0.0285521495590592
75794847,medium,28,0.4286,0.0426299516525143
75796408,large,36,0.4444,0.0336940541588649
75797343,small,20,0.2,0.0437921308713731
75798580,medium,32,0.5,0.030245496102715
75798980,medium,28,0.2857,0.027005421184116
75800164,small,24,0.5,0.0306257962565086
75811302,small,20,0.4,0.0446502853183066
75811319,medium,28,0.4286,0.0316897615044206
75811544,medium,28,0.4286,0.040686614173725
75811657,large,36,0.4444,0.0393065968060751
75811794,small,20,0.4,0.0451071491038821
75812685,medium,32,0.5,0.0279010743917945
75813131,medium,28,0.4286,0.0360874451731186
75813241,medium,28,0.2857,0.0489734536790423
75815070,large,36,0.4444,0.0323570721924145
75815433,small,20,0.4,0.0398944891993498
75815465,small,20,0.4,0.0306502816880286
75816344,medium,32,0.5,0.0298266259554974
75816639,small,24,0.5,0.0336354122870771
75818582,small,24,0.5,0.0401557042711368
75820022,large,36,0.4444,0.0491742353196579
75820420,medium,28,0.2857,0.0384187779189285
75822007,medium,28,0.4286,0.0344659755731857
75822068,medium,32,0.5,0.0364956562866822
75823093,large,36,0.4444,0.0414234088195837
75825240,medium,28,0.4286,0.0441102261302742
75825491,medium,32,0.375,0.0427193126073511
75826365,medium,32,0.5,0.0378308181330272
75826720,medium,32,0.375,0.0449795280178803
75827029,small,20,0.4,0.0469225490915093
75827649,medium,32,0.5,0.0322070920798445
75828924,medium,28,0.2857,0.0257977066764325
75829171,medium,28,0.4286,0.0441143088027947
75835292,medium,32,0.375,0.0306786134925842
75836803,medium,32,0.5,0.0341132564729496
75837587,medium,28,0.5714,0.0289877510574105
75837588,medium,32,0.5,0.0453777347781928
75838010,small,24,0.3333,0.0254359381311397
75840329,small,24,0.3333,0.0489903229181722
75840368,medium,28,0.2857,0.0373428577542149
75843788,medium,32,0.375,0.0496481966171956
75843963,large,36,0.3333,0.0499036147975828
75845040,small,24,0.3333,0.0269192050567462
75845161,medium,32,0.375,0.0303850437502604
75845337,medium,32,0.5,0.0274772944990098
75845704,large,36,0.4444,0.0372546238390535
75847145,large,36,0.5556,0.0338667689836126
75848499,medium,28,0.4286,0.0368110919602702
75850159,small,24,0.3333,0.0293731914610375
75850258,large,36,0.4444,0.0316928696239543
75850508,small,24,0.3333,0.0330844787640145
75851051,medium,28,0.4286,0.0307691305103951
75851214,small,24,0.3333,0.0251567180259111
75851849,medium,32,0.375,0.0447651098906689
75852143,medium,28,0.4286,0.0369013187516028
75852471,small,24,0.3333,0.0441982719948603
75853717,medium,28,0.4286,0.0472341594047029
75853843,medium,28,0.4286,0.0491931969459141
75854043,medium,28,0.4286,0.0303430316231553
75854436,small,20,0.4,0.0458050750946945
75854766,medium,32,0.375,0.0355222130298273
75854976,medium,28,0.5714,0.0264428053112726
75855112,small,20,0.4,0.0396466554973669
75855494,large,36,0.4444,0.0461258110398343
75856083,medium,32,0.375,0.0331346790408681
75856289,large,36,0.4444,0.0389432580413569
75856880,medium,32,0.5,0.0434209185744049
75858039,medium,32,0.25,0.0343569124490554
75859612,small,20,0.2,0.0367290034102334
75862353,small,24,0.3333,0.0408442197304073
75862477,medium,28,0.4286,0.026935090662785
75862678,medium,28,0.2857,0.0423989903238068
75863121,medium,32,0.375,0.0481378949800432
75863142,small,20,0.4,0.0256505453465774
75864159,large,36,0.4444,0.0459690020069399
75864891,small,24,0.3333,0.0325046492087925
75864911,small,24,0.1667,0.0347368114121071
75865456,medium,32,0.375,0.033871186349782
75866275,large,36,0.5556,0.0352674589920755
75867151,small,24,0.3333,0.0268632548793595
75870117,small,20,0.4,0.0267439745794227
75872623,medium,32,0.375,0.0250942223686483
75874543,large,36,0.4444,0.0349146429437651
75875734,large,36,0.3333,0.0440549954172591
75877534,small,24,0.3333,0.0396512215769466
75878390,medium,28,0.4286,0.0259309625406193
75880085,medium,32,0.375,0.0252570433082692
75882192,medium,28,0.4286,0.0472412528375227
75886361,small,24,0.3333,0.0279723576233046
75888085,medium,32,0.375,0.0449419106857129
75888091,medium,28,0.4286,0.0266744255850406
75888282,medium,32,0.5,0.030093883188953
75890927,small,24,0.5,0.0394139877012132
75890977,medium,28,0.4286,0.0416223080121204
75890978,small,24,0.3333,0.0282386168102138
75891081,small,24,0.3333,0.028615663175445
75891671,small,20,0.4,0.0402358168123233
75891694,small,24,0.3333,0.0291798732147483
75892238,medium,32,0.375,0.0270162334185308
75892635,large,36,0.4444,0.0358660764799994
75895003,medium,32,0.625,0.0441109637269172
75896280,large,36,0.4444,0.0298974482108284
75896918,small,20,0.2,0.0409731500756238
75897382,small,20,0.2,0.0458766465373177
75898362,medium,32,0.375,0.0371812836295423
75898624,medium,32,0.5,0.0373953669533781
75899584,small,20,0.2,0.0306211272535295
75899927,large,36,0.5556,0.0305558090669628
75900177,medium,32,0.375,0.0404458095744687
75900368,medium,32,0.375,0.0406473033620439
75902356,small,24,0.3333,0.02973041057032
75902962,small,24,0.3333,0.0326315206426844
75904310,medium,32,0.375,0.0255718086864884
75905571,small,20,0.4,0.0441616951394894
75905839,large,36,0.4444,0.0380784624454178
75907512,small,24,0.5,0.0486116114461903
75908481,medium,28,0.4286,0.0419129504483462
75908621,small,24,0.3333,0.0263798593354167
75909283,medium,32,0.375,0.0431531556878485
75909571,large,36,0.3333,0.0265621335509747
75909889,medium,32,0.375,0.0436408243034362
75910069,small,20,0.4,0.039867011535515
75910097,small,24,0.3333,0.0410724493095511
75910559,medium,28,0.4286,0.0471509615715238
75911154,medium,32,0.375,0.0448980362280005
75911542,medium,28,0.4286,0.0330097797354251
75911938,small,24,0.5,0.0461424722054716
75912766,small,20,0.2,0.0322617468793758
75914931,small,24,0.3333,0.0487398380846198
75915235,small,24,0.5,0.0389251940782451
75918336,small,24,0.3333,0.0288521793084558
75920012,small,24,0.3333,0.039045119645693
75920471,medium,32,0.375,0.0405281398995636
75921008,small,24,0.3333,0.0332895390405456
75921657,large,36,0.4444,0.0340101124196496
75921661,large,36,0.5556,0.0400731714216605
75921861,medium,32,0.375,0.0335671687993737
75923421,medium,32,0.5,0.0277337490721046
75923998,medium,28,0.4286,0.0278212918078186
75924157,small,24,0.3333,0.0356768462868514
75924167,small,24,0.5,0.0399893431570071
75924823,medium,28,0.4286,0.0368670350458929
75925168,medium,28,0.4286,0.0388904390869052
75926154,medium,32,0.375,0.0355613643096997
75927019,small,20,0.4,0.0423139108507115
75927245,small,24,0.1667,0.0404160817792253
75927335,large,40,0.4,0.0344577105617076
75927373,medium,28,0.4286,0.0268284271781636
75927389,medium,28,0.2857,0.0340758916387015
75927660,medium,28,0.4286,0.0371130669498612
75927875,medium,28,0.2857,0.0421564464344065
75928348,large,40,0.3,0.0390476324743457
75928517,medium,32,0.5,0.0413753828459514
75928760,medium,32,0.375,0.0270070222894447
75929958,large,36,0.4444,0.0372978544982766
75930440,small,24,0.3333,0.0437720098281646
75930516,medium,28,0.2857,0.0328239814027433
75930627,small,20,0.2,0.0353842204899436
75930684,medium,32,0.375,0.0424435534891841
75934343,large,36,0.4444,0.0385673793217031
75935643,small,20,0.2,0.0254786252520435
75936669,medium,28,0.4286,0.0288006054782746
75937328,medium,32,0.375,0.0265433223318608
75937738,large,36,0.4444,0.0390025174190928
75938056,medium,32,0.375,0.0454759225573749
75938189,medium,32,0.25,0.0419002558523131
75939046,large,36,0.5556,0.0280399835964473
75940913,medium,28,0.4286,0.0273703592371663
75941101,medium,28,0.2857,0.0255965228695431
75941873,small,24,0.5,0.037563201092535
75942176,medium,28,0.5714,0.0350022748667962
75942366,small,20,0.4,0.0299404782476145
75943024,medium,32,0.5,0.0472767518365036
75943167,small,20,0.2,0.0298744403902
75943919,small,24,0.3333,0.0469085127506507
75947221,small,24,0.3333,0.0271789665817259
75947997,small,24,0.5,0.0396562807067273
75951597,large,36,0.4444,0.0320886667288856
75952877,small,24,0.3333,0.0472017297905938
75953448,small,20,0.2,0.0466850571160151
75953848,medium,32,0.5,0.0266047191878301
75955697,small,20,0.4,0.030197706188415
75955828,medium,32,0.5,0.0406790750253403
75956569,medium,32,0.375,0.0462272860514177
75957576,small,24,0.3333,0.0383869546025089
75957597,small,24,0.3333,0.0471505874615506
75957995,small,24,0.3333,0.0373403905841925
75958272,small,24,0.3333,0.0329276854047904
75959127,medium,28,0.2857,0.0472157914582533
75959329,large,36,0.4444,0.0400154674025314
75959429,medium,28,0.2857,0.0255797546733424
75963673,medium,32,0.375,0.0496599813304511
75963835,medium,32,0.375,0.0399596296311506
75963839,medium,28,0.4286,0.0255902646569485
75963975,small,20,0.4,0.044213915133027
75964397,medium,32,0.375,0.0497696344329646
75964594,medium,32,0.375,0.0426227648851752
75964932,small,20,0.4,0.0253243402604868
75967247,medium,32,0.375,0.0370396881616804
75969960,large,36,0.4444,0.0283131810238323
75970255,large,36,0.4444,0.0404703902671161
75970330,small,24,0.5,0.0270043794370406
75970563,large,40,0.4,0.0329567799930188
75972657,medium,28,0.2857,0.0420919606273279
75972841,medium,28,0.4286,0.0254025709810384
75974716,medium,28,0.2857,0.0315601984656013
75976337,small,24,0.3333,0.0431511349988922
75979513,small,20,0.2,0.0481362489178579
75984949,medium,32,0.375,0.0330187899835294
75991087,small,20,0.4,0.0440859869383174
75994516,medium,32,0.375,0.041257709443572
75995072,medium,32,0.5,0.0325876953572108
75995342,large,36,0.3333,0.0423868093389253
75995655,medium,28,0.4286,0.0444582747349559
75996990,small,24,0.3333,0.0405365864786835
75997234,medium,28,0.2857,0.0422533075503541
75997519,small,20,0.4,0.0407934974507146
75998277,medium,32,0.5,0.0431117650988901
75998641,medium,28,0.4286,0.0438760941600885
75998767,medium,32,0.375,0.0489223075260586
75999774,medium,28,0.4286,0.0309989943603274
76003630,medium,28,0.4286,0.0394138209659434
76004820,medium,32,0.375,0.0385715762226679
76011170,small,20,0.2,0.0385380157009639
76012428,medium,32,0.5,0.0403489725566292
76020372,medium,28,0.2857,0.0469180988078047
76022872,medium,28,0.4286,0.0357205767945093
76023273,medium,32,0.375,0.034066098701175
76032198,small,24,0.3333,0.045707356400047
76032608,medium,28,0.4286,0.0446619631932707
76039927,medium,28,0.4286,0.0401800018027313
76041054,medium,28,0.4286,0.029677933793712
76042700,medium,28,0.2857,0.0294834027215685
76042942,small,24,0.3333,0.039302672150312
76044105,medium,32,0.375,0.0477616911312473
76045205,medium,28,0.4286,0.0490719955833783
76045306,small,20,0.4,0.0400384145128496
76048458,small,20,0.2,0.0394031071521434
76050389,small,20,0.4,0.0394315157409112
76056672,medium,32,0.375,0.0300068941635008
76056759,small,20,0.4,0.0287549324924566
76057451,medium,28,0.4286,0.0421480030409192
76057722,large,36,0.3333,0.0323278878762717
76059391,medium,28,0.5714,0.0380477920330451
76063562,large,36,0.4444,0.0470805512013082
76063621,medium,28,0.2857,0.0481471863257613
76064593,small,20,0.2,0.0454349889861222
76066636,large,36,0.4444,0.0410491616295381
76067195,medium,28,0.2857,0.0359184271507282
76069664,medium,28,0.4286,0.04261157820413
76071073,small,24,0.3333,0.0253619977003921
76071285,medium,28,0.4286,0.0260070811469735
76076198,medium,28,0.4286,0.0359419254921947
76079057,medium,28,0.4286,0.0304690115865427
76083186,medium,28,0.2857,0.0441265672888034
76086202,medium,28,0.5714,0.0455513056196534
76089271,small,24,0.5,0.0412851873115492
76090421,large,36,0.4444,0.0261584868060765
76093064,medium,32,0.5,0.0412240478986486
76093236,medium,32,0.375,0.0273517572090723
76094449,small,24,0.3333,0.0455222175527338
76094900,small,24,0.5,0.03555266816491
76096057,large,36,0.3333,0.0391176050997108
76100053,medium,28,0.4286,0.0489756042507705
76100756,small,24,0.3333,0.0289544902226127
76101203,small,24,0.3333,0.0447016904152446
76101936,medium,28,0.2857,0.0321708580988821
76106874,medium,28,0.2857,0.0371912714571913
76108868,small,20,0.4,0.042379175041924
76109496,medium,28,0.4286,0.0457822176064129
76110823,small,24,0.3333,0.0372316601302759
76114066,medium,28,0.4286,0.0375990315598925
76115985,small,20,0.4,0.0467874881833687
76116994,medium,32,0.5,0.0401742913799743
76117280,medium,32,0.375,0.046473639641721
76121210,small,20,0.4,0.0289621350331078
76123767,medium,32,0.5,0.0451000232262721
76124992,medium,28,0.4286,0.0445130384204489
76126715,medium,28,0.4286,0.044220026671234
76126728,small,24,0.3333,0.0310185710502484
76126831,medium,32,0.375,0.0262429056062094
76126973,medium,32,0.5,0.0347061817309591
76126987,small,20,0.4,0.0292970374112251
76128697,small,24,0.5,0.0435203203473528
76132264,medium,28,0.2857,0.0382258990307949
76134185,medium,32,0.5,0.0386542434493777
76135954,small,24,0.3333,0.0457813661658451
76139036,large,36,0.4444,0.0396093110130109
76140744,medium,32,0.375,0.0324807335074707
76147844,small,24,0.3333,0.0474827428536979
76151155,medium,28,0.4286,0.0487573907665768
76151331,small,24,0.3333,0.028862212881512
76155798,medium,28,0.4286,0.0372263193335607
76156832,large,36,0.4444,0.0434592864666241
76157049,small,24,0.1667,0.0292808041883048
76161698,small,20,0.4,0.0410524532158236
76162286,medium,32,0.375,0.0457567152014084
76164392,medium,32,0.625,0.039410032124
76166997,medium,32,0.375,0.0442468326986672
76168171,large,36,0.4444,0.0471892067752577
76169387,medium,32,0.5,0.0382870627828177
76176665,medium,28,0.4286,0.0465853190983659
76177556,large,36,0.4444,0.0483312142494168
76177692,medium,28,0.4286,0.0358451747978022
76185100,medium,32,0.5,0.0411918937743339
76193676,medium,32,0.5,0.0267753992854535
76194670,medium,28,0.4286,0.0340530744459825
76195833,small,24,0.3333,0.0420996564605509
76198561,medium,32,0.25,0.0276937829669815
76198576,small,20,0.2,0.0429061121004651
76201225,medium,28,0.4286,0.0285928257538285
76202954,medium,32,0.375,0.043933949038971
76205493,medium,28,0.2857,0.0320824914986888
76207317,small,24,0.3333,0.0417049712532106
76216031,small,24,0.1667,0.0352618474246854
76216437,small,20,0.2,0.043420435170478
76224773,medium,32,0.5,0.0464980816324402
76227451,large,36,0.4444,0.0346667482354841
76227620,medium,28,0.4286,0.0268294598023538
76229337,small,20,0.4,0.0261658606026499
76232310,small,24,0.5,0.044686816668445
76238738,medium,32,0.375,0.0370112855969752
76240663,small,24,0.3333,0.0410769547317861
76240675,large,36,0.4444,0.0256609185080636
76241304,large,40,0.4,0.0381321135764776
76242405,medium,32,0.375,0.0409496280007204
76243092,medium,32,0.5,0.0464632430104181
76247232,small,24,0.3333,0.028319803032702
76247605,medium,32,0.375,0.0323434190027986
76249460,large,36,0.4444,0.0373360428418985
76255902,large,36,0.3333,0.0333534071024317
76257210,medium,32,0.375,0.0271209039052119
76257789,small,20,0.2,0.0392957209681018
76258762,small,24,0.3333,0.0375061288045353
76259847,large,36,0.4444,0.047185602637798
76263558,small,24,0.5,0.0498559764459446
76271980,medium,32,0.5,0.026571689127587
76275892,medium,32,0.375,0.0358743315235296
76276130,medium,28,0.4286,0.0303536777199693
76279421,large,40,0.5,0.0446747660727464
76281340,medium,28,0.2857,0.0314628979473799
76282382,medium,28,0.4286,0.0474658728356831
76287943,large,36,0.4444,0.0348462327126916
76292858,medium,28,0.4286,0.0321831372333954
76293330,small,24,0.3333,0.030871905827419
76296024,medium,28,0.5714,0.030271247413368
76301352,large,36,0.4444,0.0327557788319482
76303822,small,20,0.2,0.0360333243818616
76312376,medium,32,0.375,0.0303203062198574
76317443,large,36,0.4444,0.0318978998409866
76319914,medium,32,0.375,0.0272473067855797
76324744,medium,32,0.5,0.0416764841416944
76324976,medium,32,0.375,0.0372792594276482
76334869,small,20,0.2,0.0408018958215568
76336072,medium,28,0.4286,0.0300680096496306
76338140,small,20,0.4,0.0454065837034205
76338445,medium,28,0.2857,0.0443183944522389
76341498,small,20,0.2,0.042743224247937
76344335,medium,32,0.375,0.0393599751304344
76345723,medium,32,0.5,0.0482988090767706
76353192,small,20,0.4,0.0455847288038109
76354266,small,20,0.4,0.0390965842682176
76358451,medium,28,0.2857,0.0377569720193482
76359751,small,24,0.3333,0.0478779770271855
76360514,medium,32,0.5,0.0276982660419823
76364693,small,20,0.4,0.046799746057799
76369073,large,36,0.4444,0.0266346043871816
76369368,small,24,0.3333,0.0338168948614767
76379566,small,20,0.2,0.0324102306336703
76395944,medium,32,0.5,0.0423176118205062
76397269,small,20,0.2,0.0486532179026256
76404318,medium,28,0.4286,0.0331837312439599
76404703,medium,32,0.375,0.0419568757143303
76405377,large,36,0.3333,0.0406769269200701
76408494,medium,28,0.2857,0.0393918354405945
76416544,small,20,0.2,0.0419317791490216
76417215,medium,32,0.5,0.0294083186103532
76421250,medium,28,0.4286,0.0420232648702993
76432784,medium,28,0.2857,0.0338395606957803
76435455,small,20,0.4,0.0473917068208894
76443885,medium,32,0.375,0.0453709625174126
76448561,large,36,0.3333,0.0498509068502975
76451682,small,24,0.5,0.0304794500743012
76453508,large,36,0.3333,0.0391836820080294
76475049,small,20,0.4,0.0435340563069554
76475658,medium,28,0.2857,0.0301763897280071
76476141,medium,28,0.4286,0.0420615472029205
76480194,small,24,0.3333,0.0323971513442314
76480597,small,20,0.2,0.0260843584310165
76481945,medium,28,0.4286,0.0361462297251181
76483783,small,24,0.3333,0.0393217942917079
76489368,large,36,0.4444,0.0326658602299599
76501130,medium,32,0.5,0.0401712163230429
76501532,large,36,0.4444,0.0401297907426115
76509046,small,20,0.2,0.0439021888841094
76510627,small,20,0.4,0.0428829433906376
76516585,small,20,0.2,0.0385378660173899
76527854,medium,32,0.375,0.0271526963332273
76528949,medium,32,0.5,0.0329339796399268
76538468,medium,32,0.5,0.0456083682765698
76538658,medium,28,0.2857,0.0389619592832809
76546430,small,20,0.4,0.0383437586982641
76559251,medium,32,0.375,0.0401156922828291
76593975,medium,32,0.5,0.028348893010727
76601546,small,24,0.5,0.0447967760599412
76615970,small,20,0.4,0.0467801451621449
76623067,small,24,0.3333,0.044328868176878
76632857,medium,32,0.375,0.0457143097374209
76638881,large,36,0.5556,0.0376701949003515
76645729,medium,32,0.375,0.0253192458962421
76657754,medium,28,0.4286,0.0483093551191829
76670723,small,20,0.4,0.0323446198270081
76674529,small,24,0.3333,0.036425443391951
76682997,small,20,0.2,0.0441438251793703
76686494,small,24,0.3333,0.035130021397522
76697550,medium,28,0.4286,0.0360701864913889
76744055,medium,32,0.5,0.0336030962831972
