episode_id,player_idx,final_label,window_size,t_soft,phase_t_soft,delta_own_ship_ratio,start_own_ship_ratio,delta_own_prod_ratio,start_own_prod_ratio,delta_own_planet_ratio,start_own_planet_ratio,delta_ship_gap,start_ship_gap,delta_prod_gap,start_prod_gap,delta_n_own_planets,start_n_own_planets,delta_n_neutral_planets,start_n_neutral_planets,delta_n_enemy_planets,start_n_enemy_planets,delta_own_ships_total,start_own_ships_total,delta_own_prod_total,start_own_prod_total,delta_mean_own_ships,start_mean_own_ships,delta_max_own_ships,start_max_own_ships,delta_std_own_ships,start_std_own_ships,delta_own_fleets_count,start_own_fleets_count,delta_own_fleets_ships,start_own_fleets_ships,delta_enemy_fleets_count,start_enemy_fleets_count,delta_enemy_fleets_ships,start_enemy_fleets_ships,delta_fleet_balance,start_fleet_balance,delta_own_under_threat_count,start_own_under_threat_count,delta_own_under_threat_ships,start_own_under_threat_ships,delta_enemy_contested_count,start_enemy_contested_count,delta_neutral_contested_count,start_neutral_contested_count,delta_incoming_enemy_to_own,start_incoming_enemy_to_own,delta_incoming_own_reinforce,start_incoming_own_reinforce,delta_net_incoming_own,start_net_incoming_own,delta_closest_threat_dist,start_closest_threat_dist
75696094,1,1,38,109,0.5677,-0.004799999999999971,0.4078,0.032200000000000006,0.5147,0.07140000000000002,0.4286,-1.0,162.0,2.0,18.0,0.0,12.0,-2.0,8.0,-2.0,8.0,-37.0,305.0,0.0,35.0,-3.0900000000000034,25.42,22.0,72.0,4.25,20.68,21.0,10.0,291.0,116.0,-6.0,14.0,-105.0,236.0,396.0,-120.0,-2.0,3.0,-28.0,35.0,3.0,1.0,1.0,0.0,-48.0,101.0,150.0,96.0,198.0,-5.0,0.029399999999999996,0.0902
75697081,0,0,26,72,0.5414,0.04529999999999998,0.1423,0.0479,0.2333,0.08679999999999999,0.2188,-187.0,25.0,-10.0,-7.0,4.0,7.0,-8.0,15.0,8.0,10.0,43.0,117.0,4.0,14.0,-2.16,16.71,-5.0,33.0,-1.2300000000000004,10.75,2.0,3.0,27.0,60.0,6.0,6.0,48.0,102.0,-21.0,-42.0,-1.0,1.0,-15.0,15.0,4.0,0.0,-3.0,3.0,-15.0,21.0,1.0,0.0,16.0,-21.0,0.32320000000000004,0.4395
75697081,1,1,26,69,0.5188,0.2146,0.1024,0.2167,0.2833,0.2222,0.25,110.0,-18.0,11.0,1.0,9.0,8.0,-8.0,16.0,3.0,8.0,162.0,84.0,15.0,17.0,3.9700000000000006,10.5,39.0,28.0,6.220000000000001,9.17,6.0,6.0,32.0,108.0,4.0,2.0,59.0,30.0,-27.0,78.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,3.0,48.0,0.0,112.0,0.0,64.0,0.0,-0.9253,1.0
75697432,0,0,51,213,0.8288,-0.4715999999999999,0.6184,-0.131,0.4167,-0.05359999999999998,0.375,-1787.0,751.0,-21.0,1.0,-3.0,12.0,-7.0,9.0,6.0,11.0,-722.0,966.0,-9.0,25.0,-53.39,80.5,-374.0,472.0,-97.82,129.17,2.0,4.0,37.0,54.0,0.0,14.0,-27.0,225.0,64.0,-171.0,2.0,0.0,21.0,0.0,3.0,0.0,0.0,0.0,19.0,57.0,-40.0,54.0,-59.0,-3.0,-0.32839999999999997,0.3464
75697432,1,1,51,210,0.8171,0.6237,0.139,0.18930000000000002,0.4,0.2633,0.3438,1716.0,-679.0,15.0,-1.0,6.0,11.0,-7.0,9.0,-3.0,12.0,1101.0,204.0,9.0,24.0,58.21000000000001,18.55,827.0,55.0,194.04,15.5,-2.0,12.0,-18.0,194.0,0.0,5.0,17.0,64.0,-35.0,130.0,1.0,0.0,18.0,0.0,0.0,2.0,-2.0,2.0,81.0,0.0,7.0,116.0,-74.0,116.0,-0.9454,1.0
75698121,0,0,31,92,0.5823,-0.030200000000000005,0.3926,-0.1079,0.45,-0.07290000000000002,0.4167,-205.0,-73.0,-22.0,-2.0,-4.0,15.0,-5.0,5.0,5.0,16.0,-124.0,490.0,-10.0,36.0,0.6000000000000014,32.67,16.0,79.0,6.080000000000002,21.81,4.0,11.0,53.0,164.0,7.0,17.0,146.0,203.0,-93.0,-39.0,0.0,1.0,-10.0,17.0,1.0,4.0,-1.0,1.0,4.0,52.0,-11.0,50.0,-15.0,-2.0,-0.4093,0.4636
75698121,1,1,31,87,0.5506,0.2934,0.3712,0.15589999999999993,0.4625,0.20829999999999999,0.4167,430.0,-56.0,17.0,1.0,5.0,15.0,-6.0,6.0,-3.0,15.0,350.0,405.0,10.0,37.0,10.75,27.0,102.0,139.0,13.769999999999996,41.71,8.0,14.0,101.0,199.0,8.0,6.0,117.0,104.0,-16.0,95.0,0.0,1.0,3.0,13.0,3.0,3.0,-3.0,3.0,47.0,56.0,41.0,141.0,-6.0,85.0,-0.466,0.4852
75699913,0,1,32,135,0.8491,0.14559999999999995,0.5827,0.14129999999999998,0.5,0.14290000000000003,0.5,280.0,147.0,26.0,0.0,4.0,14.0,0.0,0.0,-4.0,14.0,163.0,518.0,13.0,46.0,0.8299999999999983,37.0,12.0,80.0,1.5399999999999991,22.84,3.0,18.0,94.0,239.0,-2.0,23.0,-24.0,285.0,118.0,-46.0,3.0,1.0,91.0,5.0,2.0,5.0,0.0,0.0,70.0,78.0,-39.0,49.0,-109.0,-29.0,-0.1212,0.1595
75699913,1,0,32,138,0.8679,0.008299999999999974,0.3174,-0.054400000000000004,0.4022,-0.07150000000000001,0.4286,-31.0,-306.0,-10.0,-18.0,-2.0,12.0,0.0,0.0,2.0,16.0,49.0,266.0,-5.0,37.0,9.329999999999998,22.17,19.0,75.0,11.149999999999999,21.71,2.0,21.0,22.0,280.0,14.0,10.0,234.0,144.0,-212.0,136.0,4.0,0.0,25.0,0.0,1.0,3.0,0.0,0.0,269.0,109.0,-72.0,234.0,-341.0,125.0,-0.0885,0.1253
75701419,0,0,33,106,0.631,0.056599999999999984,0.2435,0.0020999999999999908,0.2955,0.07779999999999998,0.2,-55.0,-14.0,-14.0,-11.0,2.0,8.0,-10.0,17.0,4.0,15.0,-9.0,307.0,-1.0,26.0,-8.580000000000002,38.38,-35.0,120.0,-15.460000000000004,41.52,-3.0,4.0,-70.0,75.0,4.0,16.0,-5.0,297.0,-65.0,-222.0,-2.0,3.0,-57.0,79.0,-2.0,2.0,-1.0,1.0,-80.0,121.0,1.0,4.0,81.0,-117.0,-0.0208,0.0795
75701419,1,1,33,106,0.631,0.11499999999999999,0.2546,0.17469999999999997,0.4205,0.15280000000000005,0.375,55.0,14.0,14.0,11.0,4.0,15.0,-10.0,17.0,2.0,8.0,46.0,321.0,13.0,37.0,-2.0799999999999983,21.4,-28.0,77.0,-5.93,22.43,4.0,16.0,-5.0,297.0,-3.0,4.0,-70.0,75.0,65.0,222.0,-1.0,1.0,-15.0,15.0,0.0,3.0,1.0,1.0,-38.0,38.0,49.0,142.0,87.0,104.0,0.871,0.129
75701856,0,1,36,107,0.5879,0.361,0.4246,0.0928,0.5125,0.0938,0.4062,466.0,136.0,6.0,12.0,1.0,13.0,-5.0,7.0,0.0,12.0,419.0,332.0,5.0,41.0,28.1,25.54,305.0,92.0,77.98,22.53,-1.0,14.0,11.0,116.0,-4.0,14.0,-33.0,159.0,44.0,-43.0,0.0,1.0,-4.0,16.0,0.0,4.0,-1.0,2.0,-14.0,48.0,11.0,49.0,25.0,1.0,0.018199999999999994,0.081
75701856,1,0,36,107,0.5879,-0.09469999999999998,0.2506,0.005900000000000016,0.3625,0.05359999999999998,0.375,-466.0,-136.0,-6.0,-12.0,0.0,12.0,-5.0,7.0,1.0,13.0,-47.0,196.0,-1.0,29.0,-3.9099999999999984,16.33,-26.0,48.0,-8.629999999999999,15.52,-4.0,14.0,-33.0,159.0,-1.0,14.0,11.0,116.0,-44.0,43.0,2.0,1.0,7.0,4.0,-2.0,4.0,0.0,0.0,8.0,55.0,-19.0,111.0,-27.0,56.0,0.28009999999999996,0.0603
75706370,0,1,30,123,0.8092,0.15569999999999995,0.6058,0.11360000000000003,0.5341,0.07139999999999996,0.4643,342.0,237.0,14.0,13.0,2.0,13.0,-2.0,3.0,0.0,12.0,370.0,438.0,10.0,47.0,20.18,33.69,83.0,115.0,25.049999999999997,34.5,2.0,12.0,22.0,122.0,4.0,14.0,56.0,141.0,-34.0,-19.0,-1.0,1.0,-10.0,10.0,3.0,2.0,-1.0,1.0,4.0,48.0,-31.0,64.0,-35.0,16.0,-0.021899999999999996,0.0469
75706370,1,0,30,123,0.8092,-0.06220000000000003,0.278,-0.04550000000000004,0.3864,0.0,0.4286,-342.0,-237.0,-14.0,-13.0,0.0,12.0,-2.0,3.0,2.0,13.0,28.0,201.0,-4.0,34.0,2.3299999999999983,16.75,63.0,45.0,17.23,13.41,4.0,14.0,56.0,141.0,2.0,12.0,22.0,122.0,34.0,19.0,1.0,2.0,10.0,7.0,-1.0,3.0,0.0,0.0,95.0,16.0,52.0,93.0,-43.0,77.0,-0.1165,0.1295
75733699,0,1,20,66,0.66,0.14670000000000005,0.3922,0.07469999999999999,0.4565,0.05829999999999996,0.4167,316.0,194.0,9.0,14.0,4.0,15.0,0.0,11.0,0.0,10.0,296.0,404.0,9.0,42.0,9.910000000000004,26.93,32.0,58.0,9.84,16.5,-2.0,11.0,-28.0,195.0,-1.0,9.0,-2.0,162.0,-26.0,33.0,0.0,2.0,-7.0,17.0,-3.0,5.0,-1.0,3.0,52.0,93.0,8.0,46.0,-44.0,-47.0,-0.011700000000000002,0.0859
75733699,1,0,20,66,0.66,-0.057599999999999985,0.2039,-0.0126,0.3043,-0.02779999999999999,0.2778,-316.0,-194.0,-9.0,-14.0,0.0,10.0,0.0,11.0,4.0,15.0,-20.0,210.0,0.0,28.0,-2.0,21.0,22.0,42.0,3.549999999999999,14.49,-1.0,9.0,-2.0,162.0,-2.0,11.0,-28.0,195.0,26.0,-33.0,-2.0,2.0,-35.0,35.0,0.0,4.0,-2.0,2.0,-56.0,97.0,15.0,0.0,71.0,-97.0,0.0030000000000000027,0.1722
75736695,0,0,23,87,0.7565,-0.056900000000000006,0.2727,-0.06359999999999999,0.3553,0.011899999999999966,0.3214,-167.0,-92.0,-16.0,-10.0,-1.0,9.0,-5.0,6.0,2.0,13.0,-18.0,138.0,-6.0,27.0,-0.33000000000000007,15.33,32.0,43.0,10.579999999999998,13.96,-3.0,17.0,-45.0,170.0,-2.0,15.0,-25.0,173.0,-20.0,-3.0,1.0,1.0,9.0,4.0,-2.0,6.0,-1.0,1.0,85.0,44.0,-1.0,54.0,-86.0,10.0,-0.039599999999999996,0.0872
75736695,1,1,23,73,0.6348,0.13860000000000006,0.4618,0.1184,0.4211,0.10709999999999997,0.3929,22.0,154.0,7.0,7.0,3.0,11.0,-4.0,9.0,1.0,8.0,30.0,254.0,9.0,32.0,-2.8000000000000007,23.09,-34.0,86.0,-7.270000000000003,24.26,3.0,11.0,26.0,143.0,2.0,19.0,40.0,150.0,-14.0,-7.0,0.0,0.0,0.0,0.0,3.0,2.0,-1.0,1.0,17.0,30.0,22.0,17.0,5.0,-13.0,-0.24289999999999998,0.3273
75743036,0,0,53,199,0.7481,-0.1261,0.4123,-0.2334,0.5667,-0.16659999999999997,0.4583,-243.0,90.0,-28.0,14.0,-4.0,11.0,0.0,6.0,4.0,7.0,-19.0,254.0,-14.0,34.0,10.48,23.09,1.0,64.0,3.1400000000000006,20.68,-5.0,15.0,-83.0,183.0,1.0,10.0,-11.0,158.0,-72.0,25.0,-2.0,2.0,-21.0,21.0,-3.0,4.0,1.0,0.0,-31.0,107.0,-68.0,108.0,-37.0,1.0,0.025799999999999997,0.0228
