episode_id,player_idx,map_type,n_steps_total,t_soft,t_hard,phase_t_soft,phase_t_hard,direction,t_window_start,window_size,final_label,consistent
75778962,1,medium_orbital,117,78,107,0.6724,0.9224,win,55,23,1,1
75781174,0,small_orbital,191,141,141,0.7421,0.7421,loss,103,38,0,1
75781174,1,small_orbital,191,140,140,0.7368,0.7368,win,102,38,1,1
75781277,0,small_static,183,92,127,0.5055,0.6978,loss,56,36,0,1
75781277,1,small_static,183,92,127,0.5055,0.6978,win,56,36,1,1
75785726,0,medium_static,120,99,109,0.8319,0.916,loss,75,24,0,1
75785726,1,medium_static,120,99,109,0.8319,0.916,win,75,24,1,1
75787078,0,large_orbital,211,167,198,0.7952,0.9429,win,125,42,1,1
75787078,1,large_orbital,211,180,198,0.8571,0.9429,loss,138,42,0,1
75796408,0,large_orbital,261,240,258,0.9231,0.9923,win,188,52,1,1
75796408,1,large_orbital,261,241,258,0.9269,0.9923,loss,189,52,0,1
75797343,0,small_static,128,99,101,0.7795,0.7953,win,74,25,1,1
75797343,1,small_static,128,99,101,0.7795,0.7953,loss,74,25,0,1
75798580,0,medium_orbital,117,71,104,0.6121,0.8966,loss,48,23,0,1
75798580,1,medium_orbital,117,71,104,0.6121,0.8966,win,48,23,1,1
75812685,0,medium_orbital,500,81,138,0.1623,0.2766,loss,0,81,0,1
75812685,1,medium_orbital,500,83,138,0.1663,0.2766,win,0,83,1,1
75813241,0,medium_orbital,500,105,111,0.2104,0.2224,win,5,100,1,1
75813241,1,medium_orbital,500,105,111,0.2104,0.2224,loss,5,100,0,1
75815070,0,large_orbital,136,115,120,0.8519,0.8889,loss,88,27,0,1
75815070,1,large_orbital,136,110,120,0.8148,0.8889,win,83,27,1,1
75815433,0,small_static,121,71,104,0.5917,0.8667,win,47,24,1,1
75815433,1,small_static,121,77,104,0.6417,0.8667,loss,53,24,0,1
75815465,0,small_orbital,190,151,151,0.7989,0.7989,loss,113,38,0,1
75815465,1,small_orbital,190,151,151,0.7989,0.7989,win,113,38,1,1
75816639,0,small_orbital,174,151,151,0.8728,0.8728,loss,117,34,0,1
75816639,1,small_orbital,174,150,150,0.8671,0.8671,win,116,34,1,1
75818582,0,small_static,132,84,110,0.6412,0.8397,loss,58,26,0,1
75818582,1,small_static,132,84,110,0.6412,0.8397,win,58,26,1,1
75823093,0,large_orbital,190,153,181,0.8095,0.9577,loss,115,38,0,1
75823093,1,large_orbital,190,146,181,0.7725,0.9577,win,108,38,1,1
75825240,0,medium_orbital,107,68,92,0.6415,0.8679,win,47,21,1,1
75825240,1,medium_orbital,107,66,92,0.6226,0.8679,loss,45,21,0,1
75825491,0,medium_orbital,134,97,123,0.7293,0.9248,win,71,26,1,1
75825491,1,medium_orbital,134,97,123,0.7293,0.9248,loss,71,26,0,1
75826720,0,medium_orbital,99,67,86,0.6837,0.8776,win,48,19,1,1
75826720,1,medium_orbital,99,67,86,0.6837,0.8776,loss,48,19,0,1
75827029,0,small_static,137,120,126,0.8824,0.9265,loss,93,27,0,1
75827029,1,small_static,137,120,126,0.8824,0.9265,win,93,27,1,1
75828924,0,medium_static,127,85,116,0.6746,0.9206,win,60,25,1,1
75828924,1,medium_static,127,89,116,0.7063,0.9206,loss,64,25,0,1
75835292,0,medium_orbital,141,91,112,0.65,0.8,loss,63,28,0,1
75835292,1,medium_orbital,141,91,112,0.65,0.8,win,63,28,1,1
75836803,0,medium_orbital,500,128,177,0.2565,0.3547,loss,28,100,0,1
75836803,1,medium_orbital,500,128,177,0.2565,0.3547,win,28,100,1,1
75837587,0,medium_orbital,196,143,185,0.7333,0.9487,loss,104,39,0,1
75837587,1,medium_orbital,196,153,185,0.7846,0.9487,win,114,39,1,1
75837588,0,medium_orbital,105,63,92,0.6058,0.8846,loss,42,21,0,1
75837588,1,medium_orbital,105,63,92,0.6058,0.8846,win,42,21,1,1
75840329,0,small_static,141,105,125,0.75,0.8929,loss,77,28,0,1
75840329,1,small_static,141,105,125,0.75,0.8929,win,77,28,1,1
75840368,0,medium_static,125,76,119,0.6129,0.9597,loss,51,25,0,1
75840368,1,medium_static,125,76,119,0.6129,0.9597,win,51,25,1,1
75845040,0,small_static,128,83,119,0.6535,0.937,win,58,25,1,1
75845040,1,small_static,128,84,112,0.6614,0.8819,loss,59,25,0,1
75845161,0,medium_orbital,89,40,49,0.4545,0.5568,win,23,17,1,1
75845161,1,medium_orbital,89,37,49,0.4205,0.5568,loss,20,17,0,1
75848499,0,medium_orbital,144,107,135,0.7483,0.9441,loss,79,28,0,1
75848499,1,medium_orbital,144,118,135,0.8252,0.9441,win,90,28,1,1
75850159,0,small_static,306,76,107,0.2492,0.3508,win,15,61,1,1
75850159,1,small_static,306,82,107,0.2689,0.3508,loss,21,61,0,1
75850258,0,large_orbital,122,89,102,0.7355,0.843,loss,65,24,0,1
75850258,1,large_orbital,122,89,103,0.7355,0.8512,win,65,24,1,1
75851051,0,medium_static,207,174,191,0.8447,0.9272,loss,133,41,0,1
75851051,1,medium_static,207,168,191,0.8155,0.9272,win,127,41,1,1
75851214,0,small_static,162,125,145,0.7764,0.9006,win,93,32,1,1
75851214,1,small_static,162,131,145,0.8137,0.9006,loss,99,32,0,1
75851849,0,medium_orbital,89,45,78,0.5114,0.8864,loss,28,17,0,1
75851849,1,medium_orbital,89,52,78,0.5909,0.8864,win,35,17,1,1
75852143,0,medium_orbital,292,130,155,0.4467,0.5326,win,72,58,1,1
75852143,1,medium_orbital,292,130,155,0.4467,0.5326,loss,72,58,0,1
75854043,0,medium_orbital,203,170,198,0.8416,0.9802,win,130,40,1,1
75854043,1,medium_orbital,203,170,198,0.8416,0.9802,loss,130,40,0,1
75854976,0,medium_orbital,160,124,145,0.7799,0.9119,win,92,32,1,1
75854976,1,medium_orbital,160,124,145,0.7799,0.9119,loss,92,32,0,1
75855112,0,small_orbital,130,109,109,0.845,0.845,win,83,26,1,1
75855112,1,small_orbital,130,109,109,0.845,0.845,loss,83,26,0,1
75855494,0,large_orbital,500,143,156,0.2866,0.3126,win,43,100,1,1
75855494,1,large_orbital,500,147,156,0.2946,0.3126,loss,47,100,0,1
75856083,0,medium_static,187,82,154,0.4409,0.828,win,45,37,1,1
75856083,1,medium_static,187,83,154,0.4462,0.828,loss,46,37,0,1
75856289,0,large_orbital,168,97,101,0.5808,0.6048,loss,64,33,0,1
75856289,1,large_orbital,168,96,101,0.5749,0.6048,win,63,33,1,1
75856880,0,medium_orbital,130,79,107,0.6124,0.8295,win,53,26,1,1
75856880,1,medium_orbital,130,73,107,0.5659,0.8295,loss,47,26,0,1
75858039,0,medium_static,178,121,157,0.6836,0.887,win,86,35,1,1
75858039,1,medium_static,178,121,157,0.6836,0.887,loss,86,35,0,1
75862477,0,medium_orbital,202,161,189,0.801,0.9403,loss,121,40,0,1
75862477,1,medium_orbital,202,161,189,0.801,0.9403,win,121,40,1,1
75862678,0,medium_static,142,113,132,0.8014,0.9362,win,85,28,1,1
75862678,1,medium_static,142,113,132,0.8014,0.9362,loss,85,28,0,1
75864159,0,large_orbital,152,123,134,0.8146,0.8874,win,93,30,1,1
75864159,1,large_orbital,152,124,134,0.8212,0.8874,loss,94,30,0,1
75866275,0,large_static,231,211,211,0.9174,0.9174,loss,165,46,0,1
75866275,1,large_static,231,211,211,0.9174,0.9174,win,165,46,1,1
75867151,0,small_static,257,199,221,0.7773,0.8633,loss,148,51,0,1
75867151,1,small_static,257,199,221,0.7773,0.8633,win,148,51,1,1
75870117,0,small_static,119,97,113,0.822,0.9576,win,74,23,1,1
75870117,1,small_static,119,97,113,0.822,0.9576,loss,74,23,0,1
75872623,0,medium_orbital,159,105,150,0.6646,0.9494,loss,74,31,0,1
75872623,1,medium_orbital,159,105,150,0.6646,0.9494,win,74,31,1,1
75874543,0,large_orbital,148,125,137,0.8503,0.932,win,96,29,1,1
75874543,1,large_orbital,148,128,136,0.8707,0.9252,loss,99,29,0,1
75875734,0,large_orbital,119,74,106,0.6271,0.8983,win,51,23,1,1
75875734,1,large_orbital,119,96,106,0.8136,0.8983,loss,73,23,0,1
75877534,0,small_static,249,168,196,0.6774,0.7903,win,119,49,1,1
75877534,1,small_static,249,168,196,0.6774,0.7903,loss,119,49,0,1
75878390,0,medium_static,168,115,155,0.6886,0.9281,loss,82,33,0,1
75878390,1,medium_static,168,112,155,0.6707,0.9281,win,79,33,1,1
75880085,0,medium_orbital,216,182,205,0.8465,0.9535,win,139,43,1,1
75880085,1,medium_orbital,216,182,205,0.8465,0.9535,loss,139,43,0,1
75888085,0,medium_static,158,115,148,0.7325,0.9427,loss,84,31,0,1
75888085,1,medium_static,158,115,148,0.7325,0.9427,win,84,31,1,1
75888091,0,medium_orbital,160,124,150,0.7799,0.9434,win,92,32,1,1
75888091,1,medium_orbital,160,124,150,0.7799,0.9434,loss,92,32,0,1
75888282,0,medium_orbital,143,96,128,0.6761,0.9014,win,68,28,1,1
75888282,1,medium_orbital,143,96,128,0.6761,0.9014,loss,68,28,0,1
75890927,0,small_static,132,66,121,0.5038,0.9237,loss,40,26,0,1
75890927,1,small_static,132,66,121,0.5038,0.9237,win,40,26,1,1
75890977,0,medium_orbital,266,228,253,0.8604,0.9547,win,175,53,1,1
75890977,1,medium_orbital,266,219,253,0.8264,0.9547,loss,166,53,0,1
75890978,0,small_static,186,120,158,0.6486,0.8541,loss,83,37,0,1
75890978,1,small_static,186,96,158,0.5189,0.8541,win,59,37,1,1
75891081,0,small_static,116,66,95,0.5739,0.8261,loss,43,23,0,1
75891081,1,small_static,116,66,95,0.5739,0.8261,win,43,23,1,1
75891671,0,small_orbital,195,178,178,0.9175,0.9175,win,139,39,1,1
75891671,1,small_orbital,195,178,178,0.9175,0.9175,loss,139,39,0,1
75891694,0,small_static,257,182,201,0.7109,0.7852,loss,131,51,0,1
75891694,1,small_static,257,181,201,0.707,0.7852,win,130,51,1,1
75892238,0,medium_orbital,167,123,151,0.741,0.9096,loss,90,33,0,1
75892238,1,medium_orbital,167,124,151,0.747,0.9096,win,91,33,1,1
75892635,0,large_static,187,168,168,0.9032,0.9032,win,131,37,1,1
75892635,1,large_static,187,168,168,0.9032,0.9032,loss,131,37,0,1
75896280,0,large_static,168,137,137,0.8204,0.8204,loss,104,33,0,1
75896280,1,large_static,168,137,137,0.8204,0.8204,win,104,33,1,1
75896918,0,small_static,199,170,184,0.8586,0.9293,loss,131,39,0,1
75896918,1,small_static,199,145,184,0.7323,0.9293,win,106,39,1,1
75897382,0,small_static,314,281,283,0.8978,0.9042,loss,219,62,0,1
75897382,1,small_static,314,277,283,0.885,0.9042,win,215,62,1,1
75898362,0,medium_orbital,166,134,145,0.8121,0.8788,win,101,33,1,1
75898362,1,medium_orbital,166,134,145,0.8121,0.8788,loss,101,33,0,1
75898624,0,medium_static,126,85,109,0.68,0.872,loss,60,25,0,1
75898624,1,medium_static,126,84,109,0.672,0.872,win,59,25,1,1
75899927,0,large_orbital,500,267,291,0.5351,0.5832,loss,167,100,0,1
75899927,1,large_orbital,500,260,291,0.521,0.5832,win,160,100,1,1
75900177,0,medium_static,201,165,188,0.825,0.94,win,125,40,1,1
75900177,1,medium_static,201,170,188,0.85,0.94,loss,130,40,0,1
75900368,0,medium_static,217,149,200,0.6898,0.9259,loss,106,43,0,1
75900368,1,medium_static,217,149,200,0.6898,0.9259,win,106,43,1,1
75902962,0,small_static,155,101,131,0.6558,0.8506,loss,70,31,0,1
75902962,1,small_static,155,88,131,0.5714,0.8506,win,57,31,1,1
75905839,0,large_orbital,94,78,82,0.8387,0.8817,loss,60,18,0,1
75905839,1,large_orbital,94,42,82,0.4516,0.8817,win,24,18,1,1
75907512,0,small_static,100,54,64,0.5455,0.6465,loss,34,20,0,1
75907512,1,small_static,100,54,64,0.5455,0.6465,win,34,20,1,1
75908621,0,small_static,198,132,151,0.6701,0.7665,win,93,39,1,1
75908621,1,small_static,198,139,151,0.7056,0.7665,loss,100,39,0,1
75909283,0,medium_static,275,234,266,0.854,0.9708,loss,179,55,0,1
75909283,1,medium_static,275,234,266,0.854,0.9708,win,179,55,1,1
75909889,0,medium_static,96,72,85,0.7579,0.8947,win,53,19,1,1
75909889,1,medium_static,96,72,85,0.7579,0.8947,loss,53,19,0,1
75910559,0,medium_static,148,123,139,0.8367,0.9456,win,94,29,1,1
75910559,1,medium_static,148,123,139,0.8367,0.9456,loss,94,29,0,1
75911938,0,small_static,176,136,168,0.7771,0.96,win,101,35,1,1
75911938,1,small_static,176,136,168,0.7771,0.96,loss,101,35,0,1
75912766,0,small_static,159,115,136,0.7278,0.8608,win,84,31,1,1
75912766,1,small_static,159,115,136,0.7278,0.8608,loss,84,31,0,1
75914931,0,small_static,500,68,85,0.1363,0.1703,loss,0,68,0,1
75914931,1,small_static,500,50,85,0.1002,0.1703,win,0,50,1,1
75915235,0,small_orbital,148,100,100,0.6803,0.6803,loss,71,29,0,1
75915235,1,small_orbital,148,100,100,0.6803,0.6803,win,71,29,1,1
75918336,0,small_static,117,79,100,0.681,0.8621,loss,56,23,0,1
75918336,1,small_static,117,79,100,0.681,0.8621,win,56,23,1,1
75920012,0,small_static,162,100,117,0.6211,0.7267,win,68,32,1,1
75920012,1,small_static,162,100,117,0.6211,0.7267,loss,68,32,0,1
75921657,0,large_orbital,105,86,94,0.8269,0.9038,loss,65,21,0,1
75921657,1,large_orbital,105,83,94,0.7981,0.9038,win,62,21,1,1
75921661,0,large_orbital,82,70,72,0.8642,0.8889,loss,54,16,0,1
75921661,1,large_orbital,82,62,72,0.7654,0.8889,win,46,16,1,1
75927019,0,small_orbital,174,117,117,0.6763,0.6763,loss,83,34,0,1
75927019,1,small_orbital,174,112,112,0.6474,0.6474,win,78,34,1,1
75927660,0,medium_static,158,115,149,0.7325,0.949,win,84,31,1,1
75927660,1,medium_static,158,115,149,0.7325,0.949,loss,84,31,0,1
75927875,0,medium_static,201,112,133,0.56,0.665,win,72,40,1,1
75927875,1,medium_static,201,112,133,0.56,0.665,loss,72,40,0,1
75928517,0,medium_orbital,152,108,140,0.7152,0.9272,win,78,30,1,1
75928517,1,medium_orbital,152,102,140,0.6755,0.9272,loss,72,30,0,1
75929958,0,large_orbital,162,114,138,0.7081,0.8571,win,82,32,1,1
75929958,1,large_orbital,162,123,138,0.764,0.8571,loss,91,32,0,1
75930440,0,small_static,186,135,157,0.7297,0.8486,win,98,37,1,1
75930440,1,small_static,186,135,157,0.7297,0.8486,loss,98,37,0,1
75930516,0,medium_orbital,194,159,183,0.8238,0.9482,win,121,38,1,1
75930516,1,medium_orbital,194,147,183,0.7617,0.9482,loss,109,38,0,1
75930627,0,small_static,177,120,147,0.6818,0.8352,win,85,35,1,1
75930627,1,small_static,177,143,147,0.8125,0.8352,loss,108,35,0,1
75930684,0,medium_orbital,264,214,227,0.8137,0.8631,win,162,52,1,1
75930684,1,medium_orbital,264,214,227,0.8137,0.8631,loss,162,52,0,1
75936669,0,medium_orbital,196,161,186,0.8256,0.9538,win,122,39,1,1
75936669,1,medium_orbital,196,161,186,0.8256,0.9538,loss,122,39,0,1
75937738,0,large_orbital,204,189,195,0.931,0.9606,loss,149,40,0,1
75937738,1,large_orbital,204,181,195,0.8916,0.9606,win,141,40,1,1
75938056,0,medium_orbital,99,76,88,0.7755,0.898,loss,57,19,0,1
75938056,1,medium_orbital,99,77,88,0.7857,0.898,win,58,19,1,1
75938189,0,medium_static,140,96,116,0.6906,0.8345,loss,68,28,0,1
75938189,1,medium_static,140,96,116,0.6906,0.8345,win,68,28,1,1
75939046,0,large_orbital,146,125,135,0.8621,0.931,win,96,29,1,1
75939046,1,large_orbital,146,131,135,0.9034,0.931,loss,102,29,0,1
75940913,0,medium_orbital,124,85,118,0.6911,0.9593,win,61,24,1,1
75940913,1,medium_orbital,124,85,118,0.6911,0.9593,loss,61,24,0,1
75941873,0,small_static,114,82,93,0.7257,0.823,loss,60,22,0,1
75941873,1,small_static,114,82,93,0.7257,0.823,win,60,22,1,1
75942176,0,medium_orbital,147,112,121,0.7671,0.8288,win,83,29,1,1
75942176,1,medium_orbital,147,112,121,0.7671,0.8288,loss,83,29,0,1
75942366,0,small_static,205,122,166,0.598,0.8137,win,81,41,1,1
75942366,1,small_static,205,130,166,0.6373,0.8137,loss,89,41,0,1
75943167,0,small_static,215,168,189,0.785,0.8832,loss,125,43,0,1
75943167,1,small_static,215,157,189,0.7336,0.8832,win,114,43,1,1
75943919,0,small_static,154,123,138,0.8039,0.902,loss,93,30,0,1
75943919,1,small_static,154,122,138,0.7974,0.902,win,92,30,1,1
75955697,0,small_static,98,64,85,0.6598,0.8763,win,45,19,1,1
75955697,1,small_static,98,64,85,0.6598,0.8763,loss,45,19,0,1
75956569,0,medium_orbital,500,30,79,0.0601,0.1583,loss,0,30,0,1
75956569,1,medium_orbital,500,31,79,0.0621,0.1583,win,0,31,1,1
75957995,0,small_static,113,66,102,0.5893,0.9107,loss,44,22,0,1
75957995,1,small_static,113,66,102,0.5893,0.9107,win,44,22,1,1
75959127,0,medium_static,304,148,213,0.4884,0.703,win,88,60,1,1
75959127,1,medium_static,304,158,213,0.5215,0.703,loss,98,60,0,1
75963975,0,small_static,187,19,39,0.1022,0.2097,win,0,19,1,1
75963975,1,small_static,187,19,39,0.1022,0.2097,loss,0,19,0,1
75964932,0,small_static,178,50,114,0.2825,0.6441,win,15,35,1,1
75964932,1,small_static,178,50,114,0.2825,0.6441,loss,15,35,0,1
75969960,0,large_orbital,500,102,110,0.2044,0.2204,loss,2,100,0,1
75969960,1,large_orbital,500,88,110,0.1764,0.2204,win,0,88,1,1
75970255,0,large_orbital,150,121,138,0.8121,0.9262,win,91,30,1,1
75970255,1,large_orbital,150,132,138,0.8859,0.9262,loss,102,30,0,1
75970330,0,small_orbital,157,132,132,0.8462,0.8462,win,101,31,1,1
75970330,1,small_orbital,157,132,132,0.8462,0.8462,loss,101,31,0,1
75972657,0,medium_static,153,93,110,0.6118,0.7237,win,63,30,1,1
75972657,1,medium_static,153,93,110,0.6118,0.7237,loss,63,30,0,1
75972841,0,medium_orbital,152,84,134,0.5563,0.8874,loss,54,30,0,1
75972841,1,medium_orbital,152,84,134,0.5563,0.8874,win,54,30,1,1
75976337,0,small_static,219,155,187,0.711,0.8578,loss,112,43,0,1
75976337,1,small_static,219,155,187,0.711,0.8578,win,112,43,1,1
75979513,0,small_static,127,64,105,0.5079,0.8333,loss,39,25,0,1
75979513,1,small_static,127,64,105,0.5079,0.8333,win,39,25,1,1
75984949,0,medium_orbital,192,146,168,0.7644,0.8796,win,108,38,1,1
75984949,1,medium_orbital,192,144,168,0.7539,0.8796,loss,106,38,0,1
75995342,0,large_static,214,157,157,0.7371,0.7371,loss,115,42,0,1
75995342,1,large_static,214,157,157,0.7371,0.7371,win,115,42,1,1
75997234,0,medium_static,143,116,132,0.8169,0.9296,loss,88,28,0,1
75997234,1,medium_static,143,106,132,0.7465,0.9296,win,78,28,1,1
75998277,0,medium_orbital,129,67,88,0.5234,0.6875,loss,42,25,0,1
75998277,1,medium_orbital,129,67,88,0.5234,0.6875,win,42,25,1,1
75999774,0,medium_orbital,91,65,74,0.7222,0.8222,win,47,18,1,1
75999774,1,medium_orbital,91,65,74,0.7222,0.8222,loss,47,18,0,1
76012428,0,medium_static,160,89,127,0.5597,0.7987,loss,57,32,0,1
76012428,1,medium_static,160,89,131,0.5597,0.8239,win,57,32,1,1
76020372,0,medium_orbital,174,81,137,0.4682,0.7919,loss,47,34,0,1
76020372,1,medium_orbital,174,96,137,0.5549,0.7919,win,62,34,1,1
76022872,0,medium_static,187,122,142,0.6559,0.7634,loss,85,37,0,1
76022872,1,medium_static,187,122,142,0.6559,0.7634,win,85,37,1,1
76023273,0,medium_orbital,105,77,100,0.7404,0.9615,loss,56,21,0,1
76023273,1,medium_orbital,105,81,100,0.7788,0.9615,win,60,21,1,1
76032608,0,medium_orbital,86,4,49,0.0471,0.5765,win,0,4,1,1
76032608,1,medium_orbital,86,4,49,0.0471,0.5765,loss,0,4,0,1
76042700,0,medium_static,143,110,123,0.7746,0.8662,loss,82,28,0,1
76042700,1,medium_static,143,110,123,0.7746,0.8662,win,82,28,1,1
76042942,0,small_orbital,142,113,113,0.8014,0.8014,loss,85,28,0,1
76042942,1,small_orbital,142,113,113,0.8014,0.8014,win,85,28,1,1
76045205,0,medium_orbital,206,131,171,0.639,0.8341,win,90,41,1,1
76045205,1,medium_orbital,206,130,171,0.6341,0.8341,loss,89,41,0,1
76045306,0,small_static,142,67,86,0.4752,0.6099,win,39,28,1,1
76045306,1,small_static,142,71,86,0.5035,0.6099,loss,43,28,0,1
76050389,0,small_orbital,120,78,78,0.6555,0.6555,win,54,24,1,1
76050389,1,small_orbital,120,82,82,0.6891,0.6891,loss,58,24,0,1
76056759,0,small_static,172,83,106,0.4854,0.6199,win,49,34,1,1
76056759,1,small_static,172,83,106,0.4854,0.6199,loss,49,34,0,1
76057451,0,medium_static,459,395,420,0.8624,0.917,win,304,91,1,1
76057451,1,medium_static,459,395,420,0.8624,0.917,loss,304,91,0,1
76057722,0,large_orbital,198,117,128,0.5939,0.6497,win,78,39,1,1
76057722,1,large_orbital,198,122,128,0.6193,0.6497,loss,83,39,0,1
76064593,0,small_static,127,91,115,0.7222,0.9127,win,66,25,1,1
76064593,1,small_static,127,91,115,0.7222,0.9127,loss,66,25,0,1
76071073,0,small_orbital,127,96,96,0.7619,0.7619,loss,71,25,0,1
76071073,1,small_orbital,127,90,90,0.7143,0.7143,win,65,25,1,1
76079057,0,medium_orbital,183,145,171,0.7967,0.9396,win,109,36,1,1
76079057,1,medium_orbital,183,145,171,0.7967,0.9396,loss,109,36,0,1
76089271,0,small_orbital,149,122,122,0.8243,0.8243,loss,93,29,0,1
76089271,1,small_orbital,149,122,122,0.8243,0.8243,win,93,29,1,1
76093064,0,medium_orbital,136,95,127,0.7037,0.9407,loss,68,27,0,1
76093064,1,medium_orbital,136,96,127,0.7111,0.9407,win,69,27,1,1
76100756,0,small_orbital,195,177,177,0.9124,0.9124,win,138,39,1,1
76100756,1,small_orbital,195,177,177,0.9124,0.9124,loss,138,39,0,1
76101203,0,small_static,80,18,33,0.2278,0.4177,win,2,16,1,1
76101203,1,small_static,80,18,33,0.2278,0.4177,loss,2,16,0,1
76106874,0,medium_orbital,153,110,148,0.7237,0.9737,win,80,30,1,1
76106874,1,medium_orbital,153,110,148,0.7237,0.9737,loss,80,30,0,1
76109496,0,medium_orbital,367,306,336,0.8361,0.918,loss,233,73,0,1
76109496,1,medium_orbital,367,323,336,0.8825,0.918,win,250,73,1,1
76115985,0,small_static,123,82,104,0.6721,0.8525,win,58,24,1,1
76115985,1,small_static,123,82,104,0.6721,0.8525,loss,58,24,0,1
76126973,0,medium_orbital,167,109,131,0.6566,0.7892,win,76,33,1,1
