episode_id,omega,n_planets,n_orbital,n_static,orbital_share,prod_total,prod_mean,prod_std,n_neutral_start,neutral_prod_share,mean_inter_dist,min_inter_dist,max_inter_dist,std_inter_dist,sun_blockage_share,home_to_nearest_neutral_median,home_to_home_median,n_home
75645971,0.02938311008381521,36,4,32,0.1111111111111111,64.0,1.7777777777777777,1.227262335243029,36,1.0,59.06601780040192,9.432991329776762,122.19869048708404,26.314467544146325,0.13015873015873017,0.0,0.0,0
75648312,0.045361198736600536,36,4,32,0.1111111111111111,96.0,2.6666666666666665,1.4907119849998596,36,1.0,56.64953932812983,9.570650267695516,116.63416575342578,25.28576556949325,0.15555555555555556,0.0,0.0,0
75648785,0.026959082907943892,24,0,24,0.0,52.0,2.1666666666666665,1.4624940645653537,24,1.0,60.774518976040675,13.196990193323167,103.74984741559449,26.28134294361913,0.10144927536231885,0.0,0.0,0
75649223,0.04250775208147123,36,4,32,0.1111111111111111,88.0,2.4444444444444446,1.3425606637327303,36,1.0,58.218866935480364,10.742487138432285,119.64115087699685,25.812259269410752,0.14285714285714285,0.0,0.0,0
75649677,0.033138065626944734,32,0,32,0.0,64.0,2.0,1.224744871391589,32,1.0,58.4914808402541,10.319954971036843,115.4339051265081,26.231955877614503,0.16129032258064516,0.0,0.0,0
75653592,0.03047027238686587,36,4,32,0.1111111111111111,88.0,2.4444444444444446,1.4989708403591155,36,1.0,56.87981407268158,9.987611085180117,110.36623803903399,25.247839739305498,0.14285714285714285,0.0,0.0,0
75653796,0.02590581757469073,32,0,32,0.0,76.0,2.375,1.1110243021644486,32,1.0,62.03235382731923,10.815519970991541,131.27519780902094,27.68398142653734,0.12096774193548387,0.0,0.0,0
75665474,0.04706772041484721,32,0,32,0.0,56.0,1.75,1.3919410907075054,32,1.0,60.00239923624648,9.292864496079174,134.1257942851959,27.26499935985335,0.16129032258064516,0.0,0.0,0
75665680,0.029182802635203578,20,0,20,0.0,52.0,2.6,0.8,20,1.0,60.318514695930496,12.837834754522694,108.38105660279459,25.51376598419662,0.1368421052631579,0.0,0.0,0
75672648,0.04299472792792057,20,0,20,0.0,52.0,2.6,1.6248076809271923,20,1.0,60.46221928825582,14.007498173909635,106.31116058238182,24.98441308313748,0.11578947368421053,0.0,0.0,0
75674654,0.031155510722372166,32,4,28,0.125,88.0,2.75,1.5612494995995996,32,1.0,56.44684087610012,10.495922159717107,114.16238828218894,25.08788053549017,0.16129032258064516,0.0,0.0,0
75678738,0.03667047491394862,24,0,24,0.0,60.0,2.5,1.3844373104863459,24,1.0,60.79425333924987,11.667261142196695,112.55499453788359,26.12043375967839,0.14492753623188406,0.0,0.0,0
75678884,0.04033589142641858,32,0,32,0.0,64.0,2.0,1.118033988749895,32,1.0,61.03158073972453,9.292058150208158,118.50324814909749,27.392871560026602,0.1693548387096774,0.0,0.0,0
75681966,0.028368014294364988,32,4,28,0.125,80.0,2.5,0.5,32,1.0,55.8946000210985,10.428956811727303,104.89323906088694,24.37480951196106,0.12903225806451613,0.0,0.0,0
75682275,0.04758961146033421,24,4,20,0.16666666666666666,76.0,3.1666666666666665,1.2133516482134197,24,1.0,62.48795709578374,10.871761684691501,127.06142286614515,26.95631426912184,0.13043478260869565,0.0,0.0,0
75682823,0.04843164126224701,24,4,20,0.16666666666666666,60.0,2.5,0.7637626158259734,24,1.0,59.96085503435076,11.178104476911562,108.26141596393005,25.43762951999983,0.13043478260869565,0.0,0.0,0
75684015,0.03519141137238322,28,0,28,0.0,88.0,3.142857142857143,1.245399698154478,28,1.0,60.77612380794046,11.872309651173,112.04532404680377,26.33305150576395,0.10052910052910052,0.0,0.0,0
75692201,0.040567115289369224,32,0,32,0.0,80.0,2.5,1.0,32,1.0,59.4334853033428,11.15846389992753,110.39914957888719,25.854149443696755,0.10483870967741936,0.0,0.0,0
75693268,0.039178237873561506,28,4,24,0.14285714285714285,88.0,3.142857142857143,1.124858267715973,28,1.0,58.52480918136734,11.314117056170469,119.5851856882313,25.611420363329206,0.15343915343915343,0.0,0.0,0
75693368,0.03539146008284657,32,0,32,0.0,80.0,2.5,1.118033988749895,32,1.0,60.063909115739385,9.70205748901495,114.81926801625511,27.03061942626241,0.12903225806451613,0.0,0.0,0
75696094,0.029634152107785403,24,4,20,0.16666666666666666,64.0,2.6666666666666665,1.247219128924647,24,1.0,57.77697012793255,11.362620395641812,111.3163321349322,25.35379204651943,0.14492753623188406,0.0,0.0,0
75696709,0.049841863838995006,32,4,28,0.125,104.0,3.25,1.6393596310755,32,1.0,59.68447301296628,10.476812161487151,117.72913374490962,26.301314093775215,0.13709677419354838,0.0,0.0,0
75697081,0.04335353291263158,32,0,32,0.0,60.0,1.875,0.7806247497997998,32,1.0,60.89249479855931,10.199546948314419,114.28039124178322,26.841437758891747,0.12096774193548387,0.0,0.0,0
75697366,0.026385002108654302,36,8,28,0.2222222222222222,88.0,2.4444444444444446,1.4989708403591155,36,1.0,55.48498373315819,9.457726937541551,110.35091665871752,24.85798283127685,0.1619047619047619,0.0,0.0,0
75697432,0.02774379161062322,28,4,24,0.14285714285714285,56.0,2.0,1.0690449676496976,28,1.0,61.29683537360996,9.959996636103323,113.69209030036762,27.156705878801773,0.164021164021164,0.0,0.0,0
75698121,0.0287476287431732,32,0,32,0.0,76.0,2.375,1.3169567191065923,32,1.0,60.471516560805775,10.170683505101549,116.91983146079681,27.274259254724896,0.1532258064516129,0.0,0.0,0
75699482,0.048857182723925294,32,4,28,0.125,64.0,2.0,1.224744871391589,32,1.0,56.05786663320426,10.229379586079139,106.36456354020427,24.715745829167314,0.16129032258064516,0.0,0.0,0
75699913,0.033933580957747844,28,4,24,0.14285714285714285,92.0,3.2857142857142856,1.2777531299998799,28,1.0,58.01172358429737,10.969381108225129,115.2625777132554,25.225817174261927,0.14285714285714285,0.0,0.0,0
75700277,0.04138391347506898,28,4,24,0.14285714285714285,100.0,3.5714285714285716,1.178030178747903,28,1.0,58.03747102276767,10.931198858072735,110.52429514503126,25.60705436975126,0.164021164021164,0.0,0.0,0
75701419,0.03599196158409437,36,0,36,0.0,84.0,2.3333333333333335,1.2472191289246473,36,1.0,61.5389210600167,10.757952537783693,124.53440052130335,27.572452587734574,0.1365079365079365,0.0,0.0,0
75701856,0.04068153375614626,28,0,28,0.0,76.0,2.7142857142857144,1.2777531299998797,28,1.0,60.14948742287435,10.380563692878736,109.58682427586288,26.445908730545767,0.13227513227513227,0.0,0.0,0
75706370,0.03314566366823474,28,0,28,0.0,88.0,3.142857142857143,1.884415136896131,28,1.0,62.70286567973943,10.106565171654934,110.85973245696248,27.400688365605944,0.1111111111111111,0.0,0.0,0
75709643,0.02869264049485453,28,4,24,0.14285714285714285,92.0,3.2857142857142856,1.27775312999988,28,1.0,58.655978746854615,12.071206030521338,111.30985944380431,25.578978736440497,0.13227513227513227,0.0,0.0,0
75710307,0.03118788593750567,24,0,24,0.0,100.0,4.166666666666667,0.6871842709362769,24,1.0,60.30056585023805,13.417197899133313,103.45801040030432,25.663781903668912,0.08695652173913043,0.0,0.0,0
75714286,0.029573335414895513,28,0,28,0.0,40.0,1.4285714285714286,0.7284313590846836,28,1.0,60.19266040621829,10.627991541080709,113.5242894885531,25.721691078794606,0.08994708994708994,0.0,0.0,0
75716279,0.031115728057189276,28,4,24,0.14285714285714285,64.0,2.2857142857142856,0.880630571852711,28,1.0,61.460411761798845,10.214187758260227,124.76328057645438,27.043710234337304,0.13227513227513227,0.0,0.0,0
75717722,0.04685500644338959,28,4,24,0.14285714285714285,60.0,2.142857142857143,1.4568627181693672,28,1.0,59.139621072524434,9.463587011674084,115.00968835080373,25.98322884590714,0.14285714285714285,0.0,0.0,0
75731565,0.028448840920823615,24,4,20,0.16666666666666666,52.0,2.1666666666666665,0.8975274678557507,24,1.0,59.48225762715229,11.818583542200095,114.9093888295849,25.77859814378672,0.14492753623188406,0.0,0.0,0
75733699,0.03498127887470211,36,4,32,0.1111111111111111,92.0,2.5555555555555554,1.2570787221094177,36,1.0,59.92939722520992,10.140919385571976,120.53647814445291,26.58435939841468,0.11746031746031746,0.0,0.0,0
75736695,0.04613598687776126,24,4,20,0.16666666666666666,72.0,3.0,1.4142135623730951,24,1.0,58.28069264439033,10.387550631754673,102.02619168977967,24.730960543953948,0.11594202898550725,0.0,0.0,0
75738228,0.040955909051658954,36,4,32,0.1111111111111111,72.0,2.0,1.0540925533894598,36,1.0,60.36406984322712,10.562559867063813,118.99824303829419,27.00739097989468,0.13015873015873017,0.0,0.0,0
75743036,0.030107797803914028,24,0,24,0.0,60.0,2.5,1.8027756377319946,24,1.0,62.896314945785136,12.807377702869447,119.42558763910749,27.01800622727126,0.10144927536231885,0.0,0.0,0
75749145,0.04701078526006406,28,4,24,0.14285714285714285,88.0,3.142857142857143,0.63887656499994,28,1.0,60.631455559713366,11.906513208873985,121.41707826170867,27.416498203166153,0.18518518518518517,0.0,0.0,0
75755341,0.04815383632351436,28,0,28,0.0,72.0,2.5714285714285716,1.3997084244475304,28,1.0,60.94362255038192,10.3783231255607,119.93722429063281,27.321897990489255,0.1746031746031746,0.0,0.0,0
75760975,0.033484704317697005,28,4,24,0.14285714285714285,84.0,3.0,1.0690449676496976,28,1.0,59.80787095762561,11.714041619808455,114.95478315205983,26.057787703082106,0.13227513227513227,0.0,0.0,0
75761040,0.037481223161429225,32,4,28,0.125,88.0,2.75,1.479019945774904,32,1.0,60.0921609753637,10.298306275899893,114.52259941740513,26.465380043362654,0.13709677419354838,0.0,0.0,0
75773401,0.049015716919716144,28,0,28,0.0,80.0,2.857142857142857,1.5518257844571735,28,1.0,60.23794634617126,10.316005641469344,123.57597240051767,26.659805283563177,0.14285714285714285,0.0,0.0,0
75776178,0.0321177331927059,32,0,32,0.0,96.0,3.0,1.5811388300841898,32,1.0,61.00974272621586,10.547976763013752,118.19798442543959,27.229894989712257,0.14516129032258066,0.0,0.0,0
75776353,0.029285205268248505,28,0,28,0.0,60.0,2.142857142857143,1.5518257844571737,28,1.0,59.860741293816616,10.21554053340677,120.35391952142933,26.42293015013131,0.15343915343915343,0.0,0.0,0
75777084,0.0388924465525815,36,4,32,0.1111111111111111,96.0,2.6666666666666665,1.4907119849998598,36,1.0,56.65091158706826,9.050689031013455,109.11818405962228,25.092066773889755,0.1492063492063492,0.0,0.0,0
75777398,0.03483495802175515,36,4,32,0.1111111111111111,76.0,2.111111111111111,1.286204100310025,36,1.0,58.25145330947602,10.174398562751321,111.18974025237256,25.986843168978076,0.1492063492063492,0.0,0.0,0
75778169,0.027720276828952336,32,4,28,0.125,100.0,3.125,1.6153559979150107,32,1.0,58.93991874542288,11.819453736546045,120.59207999145829,25.970634531384444,0.14516129032258066,0.0,0.0,0
75778542,0.025726643963518425,24,4,20,0.16666666666666666,44.0,1.8333333333333333,1.462494064565354,24,1.0,55.8235671185044,11.973186402132871,104.01105160962568,23.626221901738194,0.13043478260869565,0.0,0.0,0
75778962,0.039613486633469995,32,4,28,0.125,68.0,2.125,0.9270248108869579,32,1.0,59.22950455708771,10.566079268766384,113.11383839822587,26.324881982954906,0.16129032258064516,0.0,0.0,0
75781174,0.03715184058340033,24,4,20,0.16666666666666666,76.0,3.1666666666666665,0.6871842709362768,24,1.0,65.65893635169003,11.817035192966108,125.58225060200348,28.18924204780211,0.13043478260869565,0.0,0.0,0
75781277,0.03648109680060512,24,0,24,0.0,68.0,2.8333333333333335,1.5723301886761005,24,1.0,59.76519763412514,11.478041629363227,104.64887317076918,25.573985319039522,0.13043478260869565,0.0,0.0,0
75783574,0.049948744415489944,32,0,32,0.0,80.0,2.5,1.5811388300841898,32,1.0,61.56226797787734,10.749461301571818,122.92026896129852,27.018997166197543,0.12096774193548387,0.0,0.0,0
75783641,0.027979229525256867,36,4,32,0.1111111111111111,116.0,3.2222222222222223,0.7856742013183862,36,1.0,57.00618428957675,10.979028043721593,108.86884511462897,25.23666466313403,0.13015873015873017,0.0,0.0,0
75784201,0.029422670887480233,32,0,32,0.0,84.0,2.625,1.653594569415369,32,1.0,59.57559920191588,11.151802980537251,115.93575952642038,26.463222158908337,0.12903225806451613,0.0,0.0,0
75785726,0.03786581396352842,28,0,28,0.0,60.0,2.142857142857143,1.124858267715973,28,1.0,59.93928093889775,10.24764228845609,114.00633375137718,26.318336046457784,0.12169312169312169,0.0,0.0,0
75787078,0.047074540868422124,36,4,32,0.1111111111111111,76.0,2.111111111111111,1.1967032904743342,36,1.0,60.10959104377701,10.433886357937467,113.17003585107608,26.769165528107045,0.13015873015873017,0.0,0.0,0
75789044,0.03784095281273994,36,4,32,0.1111111111111111,84.0,2.3333333333333335,1.1547005383792515,36,1.0,59.678502485080514,9.104621736753506,120.6421349558962,26.88198948969367,0.14285714285714285,0.0,0.0,0
75791936,0.028259271408812934,24,0,24,0.0,60.0,2.5,1.2583057392117916,24,1.0,59.29467724856399,12.163565080595657,102.37905032688441,25.270282133426477,0.13043478260869565,0.0,0.0,0
75792704,0.028552149559059208,28,4,24,0.14285714285714285,104.0,3.7142857142857144,1.749635530559413,28,1.0,57.214555421406665,12.652567424869433,104.73328498783337,24.528291804027848,0.1111111111111111,0.0,0.0,0
75794847,0.04262995165251435,28,4,24,0.14285714285714285,76.0,2.7142857142857144,1.385051387833237,28,1.0,56.74653104866251,10.141772692914362,106.72721985606417,25.015914042963185,0.164021164021164,0.0,0.0,0
75796408,0.03369405415886499,36,4,32,0.1111111111111111,100.0,2.7777777777777777,1.617802197617893,36,1.0,58.51498148389458,9.711646526182097,118.5404237816666,25.7366141392168,0.1111111111111111,0.0,0.0,0
75797343,0.04379213087137318,20,0,20,0.0,56.0,2.8,0.9797958971132711,20,1.0,64.20162118073219,14.343432605472627,111.50401438529012,26.86338440126561,0.09473684210526316,0.0,0.0,0
75798580,0.03024549610271502,32,4,28,0.125,76.0,2.375,1.4086784586980805,32,1.0,56.689027005641144,9.27154243545454,111.98491439419729,25.467689611371767,0.1774193548387097,0.0,0.0,0
75798980,0.02700542118411609,28,0,28,0.0,76.0,2.7142857142857144,1.749635530559413,28,1.0,63.709983555315574,9.207530023855426,117.98653851832562,29.268474479325857,0.164021164021164,0.0,0.0,0
75800164,0.030625796256508683,24,4,20,0.16666666666666666,60.0,2.5,0.7637626158259734,24,1.0,59.264244335968755,12.757938982865097,109.09040840107075,25.395851030921225,0.14492753623188406,0.0,0.0,0
75811302,0.04465028531830667,20,4,16,0.2,56.0,2.8,1.16619037896906,20,1.0,58.306472398590344,12.280136767393484,111.56760493644971,24.337589980745374,0.15789473684210525,0.0,0.0,0
75811319,0.03168976150442061,28,4,24,0.14285714285714285,84.0,3.0,1.3093073414159542,28,1.0,60.66968908967231,10.569922347488902,133.1779281345173,27.04300152145916,0.164021164021164,0.0,0.0,0
75811544,0.040686614173725016,28,4,24,0.14285714285714285,68.0,2.4285714285714284,1.178030178747903,28,1.0,61.29645578028804,11.118025205332119,127.1510654667392,27.235254820144004,0.164021164021164,0.0,0.0,0
75811657,0.039306596806075164,36,0,36,0.0,88.0,2.4444444444444446,1.3425606637327303,36,1.0,58.350553779218146,10.672057079086345,113.28614052237886,26.028671770256985,0.13015873015873017,0.0,0.0,0
75811794,0.045107149103882194,20,0,20,0.0,52.0,2.6,1.019803902718557,20,1.0,58.14561285957006,11.52810149944411,100.21667177466978,24.494409801358998,0.1368421052631579,0.0,0.0,0
75812685,0.02790107439179455,32,4,28,0.125,68.0,2.125,1.4523687548277813,32,1.0,56.77291025150114,9.227271356081415,110.74827686151056,25.01865611269594,0.14516129032258066,0.0,0.0,0
75813131,0.03608744517311867,28,4,24,0.14285714285714285,80.0,2.857142857142857,1.4568627181693672,28,1.0,56.97438154750014,10.85756329242408,114.37794303199269,25.090850626670544,0.1746031746031746,0.0,0.0,0
75813241,0.04897345367904239,28,4,24,0.14285714285714285,80.0,2.857142857142857,1.456862718169367,28,1.0,60.870867029740985,10.559564876927814,112.94684715789718,26.219845417988118,0.13227513227513227,0.0,0.0,0
75815070,0.03235707219241457,36,4,32,0.1111111111111111,84.0,2.3333333333333335,1.6329931618554518,36,1.0,58.34297932565375,9.090178536884428,115.77517908698832,25.913462666974986,0.14285714285714285,0.0,0.0,0
75815433,0.03989448919934983,20,0,20,0.0,52.0,2.6,1.9595917942265426,20,1.0,61.97061907210467,12.285959342411326,121.91553032327094,27.053230563132217,0.17894736842105263,0.0,0.0,0
75815465,0.030650281688028684,20,4,16,0.2,48.0,2.4,1.4966629547095767,20,1.0,60.73999115853227,10.572458640123301,110.28218547330015,25.58304974576327,0.15789473684210525,0.0,0.0,0
75816344,0.02982662595549747,32,4,28,0.125,76.0,2.375,1.4086784586980805,32,1.0,55.16519148032173,9.518208597121408,104.74709022447173,24.06966393439009,0.13709677419354838,0.0,0.0,0
75816639,0.03363541228707714,24,4,20,0.16666666666666666,68.0,2.8333333333333335,1.0671873729054748,24,1.0,60.075389542293806,12.13916325172558,117.87293093027306,26.564408370637025,0.17391304347826086,0.0,0.0,0
75818582,0.040155704271136836,24,0,24,0.0,56.0,2.3333333333333335,0.7453559924999298,24,1.0,58.53038885843762,11.414548101947199,113.2792787903904,25.667766592119044,0.15942028985507245,0.0,0.0,0
75820022,0.04917423531965796,36,4,32,0.1111111111111111,100.0,2.7777777777777777,1.0304020550550783,36,1.0,57.93564748610819,9.952498348489224,116.10231052666681,25.622482161650737,0.13015873015873017,0.0,0.0,0
75820420,0.03841877791892859,28,0,28,0.0,68.0,2.4285714285714284,1.4982983545287878,28,1.0,64.24372173580966,10.296303104144897,132.00399983404603,28.540012481575097,0.14285714285714285,0.0,0.0,0
75822007,0.03446597557318572,28,0,28,0.0,88.0,3.142857142857143,0.9897433186107869,28,1.0,60.078140886614484,11.530592149742185,123.89736767185154,26.65844861079912,0.14285714285714285,0.0,0.0,0
75822068,0.036495656286682235,32,4,28,0.125,80.0,2.5,1.118033988749895,32,1.0,58.91418212660849,10.140647504279126,117.69147562600025,26.233816771567206,0.13709677419354838,0.0,0.0,0
75823093,0.04142340881958374,36,4,32,0.1111111111111111,92.0,2.5555555555555554,1.6405358955814886,36,1.0,58.671858983023675,10.27743433712802,111.85246494195758,25.954385330584024,0.1365079365079365,0.0,0.0,0
75825240,0.04411022613027422,28,4,24,0.14285714285714285,100.0,3.5714285714285716,1.498298354528788,28,1.0,58.782114671499386,12.408676858502524,115.99268853131632,25.465979090769178,0.13227513227513227,0.0,0.0,0
75825491,0.04271931260735117,32,4,28,0.125,88.0,2.75,1.3919410907075054,32,1.0,60.8865946987752,9.806262440763758,114.50309244641876,27.075034927699615,0.13709677419354838,0.0,0.0,0
75826365,0.03783081813302727,32,4,28,0.125,88.0,2.75,1.7853571071357126,32,1.0,57.37668040749885,9.680871933861738,112.9780251193566,25.493514877487083,0.1532258064516129,0.0,0.0,0
75826720,0.04497952801788033,32,4,28,0.125,96.0,3.0,1.4142135623730951,32,1.0,58.39078495511258,10.948018739164434,114.19528563822746,25.585311040747538,0.12903225806451613,0.0,0.0,0
75827029,0.04692254909150934,20,0,20,0.0,44.0,2.2,1.16619037896906,20,1.0,63.319933080615414,14.271321186839973,118.56312437333874,26.33003556738465,0.09473684210526316,0.0,0.0,0
75827649,0.0322070920798445,32,4,28,0.125,76.0,2.375,1.5761900266148114,32,1.0,57.25966524704691,10.306278776985666,117.57684052301276,25.593191922922767,0.1693548387096774,0.0,0.0,0
75828924,0.025797706676432546,28,0,28,0.0,112.0,4.0,1.3093073414159542,28,1.0,60.92623677811896,11.134437793733712,117.25107808293913,26.916981497749227,0.15343915343915343,0.0,0.0,0
75829171,0.04411430880279475,28,4,24,0.14285714285714285,68.0,2.4285714285714284,1.049781318335648,28,1.0,58.38108221050732,12.197011168344133,108.94932984558376,24.98789530498893,0.12169312169312169,0.0,0.0,0
75835292,0.030678613492584206,32,4,28,0.125,76.0,2.375,1.653594569415369,32,1.0,58.732882968888596,9.190558734025032,115.1686946119051,26.026939891241895,0.13709677419354838,0.0,0.0,0
75836803,0.034113256472949646,32,4,28,0.125,64.0,2.0,0.8660254037844386,32,1.0,55.70098655668184,9.78410022791378,115.31888153501957,24.98843563622745,0.1693548387096774,0.0,0.0,0
75837587,0.028987751057410575,28,4,24,0.14285714285714285,76.0,2.7142857142857144,1.4846149779161804,28,1.0,54.57651035336675,10.602428985336763,110.43834500640111,23.798723517601164,0.164021164021164,0.0,0.0,0
75837588,0.045377734778192826,32,4,28,0.125,84.0,2.625,1.3169567191065923,32,1.0,57.381699152083534,9.816606339396854,107.84070161337281,25.52323603188185,0.1532258064516129,0.0,0.0,0
75838010,0.02543593813113978,24,4,20,0.16666666666666666,72.0,3.0,1.7320508075688772,24,1.0,59.42311649126264,11.690328661715565,102.61145582341948,25.30741099375576,0.13043478260869565,0.0,0.0,0
75840329,0.04899032291817226,24,0,24,0.0,60.0,2.5,1.2583057392117916,24,1.0,61.926916105658584,11.46654181285942,118.20378714955714,26.58492746866834,0.14492753623188406,0.0,0.0,0
75840368,0.03734285775421496,28,0,28,0.0,72.0,2.5714285714285716,1.840585532389304,28,1.0,63.69526555701741,11.39188958734334,121.817464466973,27.909630305332946,0.10052910052910052,0.0,0.0,0
75843788,0.04964819661719561,32,0,32,0.0,108.0,3.375,1.4947825928876748,32,1.0,60.19355938138959,10.783081064508881,117.60329205218292,26.79249861690258,0.12903225806451613,0.0,0.0,0
75843963,0.049903614797582825,36,4,32,0.1111111111111111,120.0,3.3333333333333335,1.7638342073763937,36,1.0,60.75492530404756,10.780722769946808,128.28747149144678,27.084660211661458,0.1492063492063492,0.0,0.0,0
75845040,0.026919205056746266,24,0,24,0.0,56.0,2.3333333333333335,1.3743685418725535,24,1.0,65.6859214930654,11.503985890051142,131.14574949522074,28.26923045976306,0.13043478260869565,0.0,0.0,0
75845161,0.030385043750260434,32,4,28,0.125,88.0,2.75,1.1989578808281798,32,1.0,62.486964224044534,10.575412079323302,125.13609497936258,27.816599027384402,0.13709677419354838,0.0,0.0,0
75845337,0.027477294499009843,32,4,28,0.125,68.0,2.125,1.2686114456365274,32,1.0,58.725717176987864,10.597085637806066,116.11519611239815,25.993579106858526,0.14516129032258066,0.0,0.0,0
75845704,0.03725462383905353,36,4,32,0.1111111111111111,64.0,1.7777777777777777,1.030402055055078,36,1.0,60.28097368854696,9.838474538049837,120.07457942455922,26.86468243327944,0.13015873015873017,0.0,0.0,0
75847145,0.03386676898361264,36,4,32,0.1111111111111111,96.0,2.6666666666666665,1.414213562373095,36,1.0,56.84589223404468,9.546429321996177,113.34104781056975,25.67869539712416,0.15555555555555556,0.0,0.0,0
75848499,0.03681109196027027,28,4,24,0.14285714285714285,64.0,2.2857142857142856,1.2777531299998797,28,1.0,59.5560396224413,11.387165414716922,116.45054974817637,26.029256001013334,0.13227513227513227,0.0,0.0,0
75850159,0.02937319146103754,24,0,24,0.0,72.0,3.0,1.2909944487358056,24,1.0,62.271175358211096,10.324200603306986,117.02819717122057,27.468442821960505,0.11594202898550725,0.0,0.0,0
75850258,0.03169286962395433,36,4,32,0.1111111111111111,72.0,2.0,1.247219128924647,36,1.0,59.44534687862176,9.935631537172577,113.95564509391866,26.42604914251834,0.13015873015873017,0.0,0.0,0
75850508,0.03308447876401456,24,0,24,0.0,92.0,3.8333333333333335,0.8975274678557507,24,1.0,59.35601976066441,12.272310822874488,101.99386499390813,25.20911850776313,0.11594202898550725,0.0,0.0,0
75851051,0.03076913051039511,28,0,28,0.0,68.0,2.4285714285714284,1.2936264483053452,28,1.0,61.21403845368628,9.703278056039583,117.73131408028118,26.640022498968385,0.12169312169312169,0.0,0.0,0
75851214,0.025156718025911157,24,0,24,0.0,44.0,1.8333333333333333,0.6871842709362769,24,1.0,63.54980026534732,11.251638111623807,114.07416708705144,27.258230536727613,0.10144927536231885,0.0,0.0,0
75851849,0.04476510989066895,32,4,28,0.125,108.0,3.375,1.2183492931011204,32,1.0,60.93500265720219,11.493697141252895,129.34198556291236,27.18828218191813,0.12903225806451613,0.0,0.0,0
75852143,0.03690131875160282,28,4,24,0.14285714285714285,92.0,3.2857142857142856,1.5779087167410373,28,1.0,56.5519967557382,12.912730549698402,108.70174102638792,24.545540716804815,0.13227513227513227,0.0,0.0,0
75852471,0.04419827199486033,24,0,24,0.0,80.0,3.3333333333333335,1.4907119849998598,24,1.0,60.68556909044516,11.366742772424374,118.45883035162666,26.317564975635428,0.11594202898550725,0.0,0.0,0
75853717,0.047234159404702936,28,4,24,0.14285714285714285,76.0,2.7142857142857144,1.2777531299998797,28,1.0,60.320901021679646,11.563916092933058,120.7564877735641,26.738974808285366,0.15343915343915343,0.0,0.0,0
75853843,0.04919319694591413,28,4,24,0.14285714285714285,80.0,2.857142857142857,1.2453996981544784,28,1.0,57.63018382203064,11.088765248413901,106.15132742475198,24.91444053480176,0.13227513227513227,0.0,0.0,0
75854043,0.030343031623155308,28,4,24,0.14285714285714285,92.0,3.2857142857142856,1.7496355305594131,28,1.0,59.407660073764916,9.909402791299273,110.16639819812157,26.270978126105206,0.164021164021164,0.0,0.0,0
75854436,0.0458050750946945,20,4,16,0.2,64.0,3.2,0.7483314773547882,20,1.0,58.12355792151159,11.77147649446959,107.54433118692458,24.05542528331512,0.11578947368421053,0.0,0.0,0
75854766,0.03552221302982737,32,0,32,0.0,88.0,2.75,1.0897247358851685,32,1.0,61.150363927978894,10.592341068463321,126.01427698308055,27.200380829935085,0.10483870967741936,0.0,0.0,0
