episode_id,omega,n_planets,n_orbital,orbital_share,size_bucket,mean_orbital_dist_from_sun,max_orbital_dist_from_sun,prod_total,prod_mean,prod_std,n_neutral_start,neutral_prod_share,mean_inter_dist,min_inter_dist,max_inter_dist,std_inter_dist,sun_blockage_share,home_to_nearest_neutral_median,home_to_home_median,n_home
75700277,0.04138391347506898,28,12,0.4286,medium,32.984,36.785,100.0,3.5714285714285716,1.178030178747903,24,0.84,58.037,10.931,110.524,25.607,0.164,12.402,52.022,4
75701419,0.03599196158409437,36,12,0.3333,large,34.61,37.052,84.0,2.3333333333333335,1.2472191289246473,34,0.9286,61.539,10.758,124.534,27.572,0.1365,11.601,60.401,2
75701856,0.04068153375614626,28,12,0.4286,medium,35.646,37.862,76.0,2.7142857142857144,1.2777531299998797,26,0.9211,60.149,10.381,109.587,26.446,0.1323,10.381,104.344,2
75706370,0.03314566366823474,28,8,0.2857,medium,34.331,35.063,88.0,3.142857142857143,1.884415136896131,26,0.9773,62.703,10.107,110.86,27.401,0.1111,10.107,99.676,2
75709643,0.02869264049485453,28,12,0.4286,medium,31.966,35.872,92.0,3.2857142857142856,1.27775312999988,24,0.7826,58.656,12.071,111.31,25.579,0.1323,15.428,67.432,4
75710307,0.03118788593750567,24,8,0.3333,small,33.687,34.661,100.0,4.166666666666667,0.6871842709362769,20,0.84,60.301,13.417,103.458,25.664,0.087,16.892,72.766,4
75714286,0.029573335414895513,28,12,0.4286,medium,34.656,38.006,40.0,1.4285714285714286,0.7284313590846836,24,0.8,60.193,10.628,113.524,25.722,0.0899,13.786,72.958,4
75716279,0.031115728057189276,28,12,0.4286,medium,34.413,38.2,64.0,2.2857142857142856,0.880630571852711,24,0.9375,61.46,10.214,124.763,27.044,0.1323,10.214,40.817,4
75717722,0.04685500644338959,28,12,0.4286,medium,29.024,33.907,60.0,2.142857142857143,1.4568627181693672,24,0.9333,59.14,9.464,115.01,25.983,0.1429,12.783,81.324,4
75731565,0.028448840920823615,24,12,0.5,small,34.106,37.839,52.0,2.1666666666666665,0.8975274678557507,20,0.9231,59.482,11.819,114.909,25.779,0.1449,11.819,37.735,4
75733699,0.03498127887470211,36,12,0.3333,large,31.72,37.244,92.0,2.5555555555555554,1.2570787221094177,34,0.8913,59.929,10.141,120.536,26.584,0.1175,13.502,98.593,2
75736695,0.04613598687776126,24,8,0.3333,small,28.69,33.386,72.0,3.0,1.4142135623730951,22,0.8889,58.281,10.388,102.026,24.731,0.1159,17.524,100.996,2
75738228,0.040955909051658954,36,16,0.4444,large,34.986,40.059,72.0,2.0,1.0540925533894598,32,0.9444,60.364,10.563,118.998,27.007,0.1302,11.811,70.689,4
75743036,0.030107797803914028,24,8,0.3333,small,34.139,35.215,60.0,2.5,1.8027756377319946,22,0.9667,62.896,12.807,119.426,27.018,0.1014,20.867,107.606,2
75749145,0.04701078526006406,28,12,0.4286,medium,33.427,38.412,88.0,3.142857142857143,0.63887656499994,24,0.8182,60.631,11.907,121.417,27.416,0.1852,11.907,85.855,4
75755341,0.04815383632351436,28,12,0.4286,medium,32.69,38.715,72.0,2.5714285714285716,1.3997084244475304,26,0.9722,60.944,10.378,119.937,27.322,0.1746,10.378,77.43,2
75760975,0.033484704317697005,28,12,0.4286,medium,30.414,35.565,84.0,3.0,1.0690449676496976,26,0.9048,59.808,11.714,114.955,26.058,0.1323,17.006,104.269,2
75761040,0.037481223161429225,32,12,0.375,medium,32.292,35.236,88.0,2.75,1.479019945774904,30,0.9545,60.092,10.298,114.523,26.465,0.1371,14.858,97.283,2
75773401,0.049015716919716144,28,12,0.4286,medium,33.016,37.589,80.0,2.857142857142857,1.5518257844571735,24,0.75,60.238,10.316,123.576,26.66,0.1429,19.034,73.541,4
75776178,0.0321177331927059,32,12,0.375,medium,33.265,35.908,96.0,3.0,1.5811388300841898,28,0.9583,61.01,10.548,118.198,27.23,0.1452,10.548,71.532,4
75776353,0.029285205268248505,28,12,0.4286,medium,32.793,36.103,60.0,2.142857142857143,1.5518257844571737,26,0.9667,59.861,10.216,120.354,26.423,0.1534,10.971,72.205,2
75777084,0.0388924465525815,36,16,0.4444,large,31.136,34.491,96.0,2.6666666666666665,1.4907119849998598,32,0.8333,56.651,9.051,109.118,25.092,0.1492,12.08,77.158,4
75777398,0.03483495802175515,36,16,0.4444,large,33.143,38.715,76.0,2.111111111111111,1.286204100310025,34,0.9737,58.251,10.174,111.19,25.987,0.1492,10.174,98.386,2
75778169,0.027720276828952336,32,12,0.375,medium,30.831,35.422,100.0,3.125,1.6153559979150107,30,0.9,58.94,11.819,120.592,25.971,0.1452,23.294,95.608,2
75778542,0.025726643963518425,24,12,0.5,small,30.284,34.484,44.0,1.8333333333333333,1.462494064565354,22,0.7727,55.824,11.973,104.011,23.626,0.1304,18.03,101.712,2
75778962,0.039613486633469995,32,12,0.375,medium,30.923,36.623,68.0,2.125,0.9270248108869579,30,0.9706,59.23,10.566,113.114,26.325,0.1613,11.951,110.111,2
75781174,0.03715184058340033,24,4,0.1667,small,23.341,23.341,76.0,3.1666666666666665,0.6871842709362768,22,0.8947,65.659,11.817,125.582,28.189,0.1304,12.649,125.582,2
75781277,0.03648109680060512,24,8,0.3333,small,32.052,34.389,68.0,2.8333333333333335,1.5723301886761005,22,0.9706,59.765,11.478,104.649,25.574,0.1304,11.478,104.649,2
75783574,0.049948744415489944,32,12,0.375,medium,34.301,37.832,80.0,2.5,1.5811388300841898,28,0.95,61.562,10.749,122.92,27.019,0.121,10.749,86.918,4
75783641,0.027979229525256867,36,16,0.4444,large,32.456,35.723,116.0,3.2222222222222223,0.7856742013183862,32,0.8966,57.006,10.979,108.869,25.237,0.1302,11.837,33.448,4
75784201,0.029422670887480233,32,16,0.5,medium,35.635,40.083,84.0,2.625,1.653594569415369,28,0.9524,59.576,11.152,115.936,26.463,0.129,11.152,72.299,4
75785726,0.03786581396352842,28,12,0.4286,medium,36.027,38.289,60.0,2.142857142857143,1.124858267715973,26,0.9,59.939,10.248,114.006,26.318,0.1217,10.248,68.288,2
75787078,0.047074540868422124,36,16,0.4444,large,35.616,39.005,76.0,2.111111111111111,1.1967032904743342,34,0.9737,60.11,10.434,113.17,26.769,0.1302,10.571,113.17,2
75789044,0.03784095281273994,36,16,0.4444,large,34.169,39.317,84.0,2.3333333333333335,1.1547005383792515,32,0.8095,59.679,9.105,120.642,26.882,0.1429,11.446,72.357,4
75791936,0.028259271408812934,24,8,0.3333,small,32.025,34.914,60.0,2.5,1.2583057392117916,20,0.8667,59.295,12.164,102.379,25.27,0.1304,13.081,41.205,4
75792704,0.028552149559059208,28,12,0.4286,medium,32.277,36.35,104.0,3.7142857142857144,1.749635530559413,24,0.8077,57.215,12.653,104.733,24.528,0.1111,12.856,68.331,4
75794847,0.04262995165251435,28,12,0.4286,medium,30.407,35.322,76.0,2.7142857142857144,1.385051387833237,24,0.7895,56.747,10.142,106.727,25.016,0.164,10.403,44.937,4
75796408,0.03369405415886499,36,16,0.4444,large,33.35,37.099,100.0,2.7777777777777777,1.617802197617893,34,0.92,58.515,9.712,118.54,25.737,0.1111,16.223,96.827,2
75797343,0.04379213087137318,20,4,0.2,small,30.391,30.391,56.0,2.8,0.9797958971132711,18,0.8571,64.202,14.343,111.504,26.863,0.0947,14.343,101.989,2
75798580,0.03024549610271502,32,16,0.5,medium,32.432,36.947,76.0,2.375,1.4086784586980805,30,0.9474,56.689,9.272,111.985,25.468,0.1774,9.873,67.418,2
75798980,0.02700542118411609,28,8,0.2857,medium,33.204,35.075,76.0,2.7142857142857144,1.749635530559413,24,0.9474,63.71,9.208,117.987,29.268,0.164,9.208,77.828,4
75800164,0.030625796256508683,24,12,0.5,small,33.732,39.378,60.0,2.5,0.7637626158259734,20,0.8667,59.264,12.758,109.09,25.396,0.1449,12.758,77.139,4
75811302,0.04465028531830667,20,8,0.4,small,28.226,34.197,56.0,2.8,1.16619037896906,16,0.9286,58.306,12.28,111.568,24.338,0.1579,12.28,48.362,4
75811319,0.03168976150442061,28,12,0.4286,medium,30.243,33.642,84.0,3.0,1.3093073414159542,24,0.8095,60.67,10.57,133.178,27.043,0.164,13.617,75.786,4
75811544,0.040686614173725016,28,12,0.4286,medium,32.789,37.184,68.0,2.4285714285714284,1.178030178747903,24,0.8824,61.296,11.118,127.151,27.235,0.164,11.118,52.587,4
75811657,0.039306596806075164,36,16,0.4444,large,34.445,37.831,88.0,2.4444444444444446,1.3425606637327303,32,0.9545,58.351,10.672,113.286,26.029,0.1302,10.956,80.105,4
75811794,0.045107149103882194,20,8,0.4,small,32.918,35.005,52.0,2.6,1.019803902718557,16,0.7692,58.146,11.528,100.217,24.494,0.1368,13.377,70.864,4
75812685,0.02790107439179455,32,16,0.5,medium,32.416,37.049,68.0,2.125,1.4523687548277813,30,0.9706,56.773,9.227,110.748,25.019,0.1452,9.227,74.098,2
75813131,0.03608744517311867,28,12,0.4286,medium,30.1,33.727,80.0,2.857142857142857,1.4568627181693672,24,0.8,56.974,10.858,114.378,25.091,0.1746,10.858,47.698,4
75813241,0.04897345367904239,28,8,0.2857,medium,27.823,32.793,80.0,2.857142857142857,1.456862718169367,26,0.95,60.871,10.56,112.947,26.22,0.1323,12.053,112.947,2
75815070,0.03235707219241457,36,16,0.4444,large,31.829,38.045,84.0,2.3333333333333335,1.6329931618554518,34,0.9286,58.343,9.09,115.775,25.913,0.1429,17.375,97.532,2
75815433,0.03989448919934983,20,8,0.4,small,32.142,36.419,52.0,2.6,1.9595917942265426,18,0.8077,61.971,12.286,121.916,27.053,0.1789,15.267,55.729,2
75815465,0.030650281688028684,20,8,0.4,small,32.705,37.976,48.0,2.4,1.4966629547095767,18,0.875,60.74,10.572,110.282,25.583,0.1579,10.572,75.952,2
75816344,0.02982662595549747,32,16,0.5,medium,30.63,36.597,76.0,2.375,1.4086784586980805,28,0.9474,55.165,9.518,104.747,24.07,0.1371,13.353,70.46,4
75816639,0.03363541228707714,24,12,0.5,small,34.005,39.514,68.0,2.8333333333333335,1.0671873729054748,22,0.8824,60.075,12.139,117.873,26.564,0.1739,12.342,104.771,2
75818582,0.040155704271136836,24,12,0.5,small,34.697,38.007,56.0,2.3333333333333335,0.7453559924999298,22,0.9286,58.53,11.415,113.279,25.668,0.1594,11.706,97.662,2
75820022,0.04917423531965796,36,16,0.4444,large,32.399,36.719,100.0,2.7777777777777777,1.0304020550550783,32,0.88,57.936,9.952,116.102,25.622,0.1302,12.418,51.928,4
75820420,0.03841877791892859,28,8,0.2857,medium,35.1,38.693,68.0,2.4285714285714284,1.4982983545287878,24,0.9412,64.244,10.296,132.004,28.54,0.1429,11.121,54.72,4
75822007,0.03446597557318572,28,12,0.4286,medium,34.062,36.581,88.0,3.142857142857143,0.9897433186107869,24,0.8182,60.078,11.531,123.897,26.658,0.1429,13.683,69.105,4
75822068,0.036495656286682235,32,16,0.5,medium,33.977,37.668,80.0,2.5,1.118033988749895,28,0.85,58.914,10.141,117.691,26.234,0.1371,11.993,83.22,4
75823093,0.04142340881958374,36,16,0.4444,large,32.722,38.242,92.0,2.5555555555555554,1.6405358955814886,34,0.9565,58.672,10.277,111.852,25.954,0.1365,13.435,97.465,2
75825240,0.04411022613027422,28,12,0.4286,medium,31.275,36.84,100.0,3.5714285714285716,1.498298354528788,26,0.96,58.782,12.409,115.993,25.466,0.1323,18.939,96.791,2
75825491,0.04271931260735117,32,12,0.375,medium,33.141,36.728,88.0,2.75,1.3919410907075054,30,0.9091,60.887,9.806,114.503,27.075,0.1371,11.941,114.503,2
75826365,0.03783081813302727,32,16,0.5,medium,33.516,38.316,88.0,2.75,1.7853571071357126,28,0.9545,57.377,9.681,112.978,25.494,0.1532,9.681,37.631,4
75826720,0.04497952801788033,32,12,0.375,medium,30.483,34.704,96.0,3.0,1.4142135623730951,30,0.9167,58.391,10.948,114.195,25.585,0.129,11.646,65.127,2
75827029,0.04692254909150934,20,8,0.4,small,37.803,37.893,44.0,2.2,1.16619037896906,18,0.8182,63.32,14.271,118.563,26.33,0.0947,22.254,118.563,2
75827649,0.0322070920798445,32,16,0.5,medium,32.403,37.09,76.0,2.375,1.5761900266148114,28,0.9474,57.26,10.306,117.577,25.593,0.1694,10.306,52.453,4
75828924,0.025797706676432546,28,8,0.2857,medium,31.963,33.976,112.0,4.0,1.3093073414159542,26,0.9643,60.926,11.134,117.251,26.917,0.1534,11.292,117.251,2
75829171,0.04411430880279475,28,12,0.4286,medium,31.191,36.95,68.0,2.4285714285714284,1.049781318335648,24,0.7647,58.381,12.197,108.949,24.988,0.1217,12.197,69.36,4
75835292,0.030678613492584206,32,12,0.375,medium,32.652,36.146,76.0,2.375,1.653594569415369,30,0.8684,58.733,9.191,115.169,26.027,0.1371,17.869,94.962,2
75836803,0.034113256472949646,32,16,0.5,medium,31.897,36.243,64.0,2.0,0.8660254037844386,30,0.9375,55.701,9.784,115.319,24.988,0.1694,16.527,96.859,2
75837587,0.028987751057410575,28,16,0.5714,medium,31.406,35.389,76.0,2.7142857142857144,1.4846149779161804,26,0.8947,54.577,10.602,110.438,23.799,0.164,10.602,65.717,2
75837588,0.045377734778192826,32,16,0.5,medium,33.883,39.176,84.0,2.625,1.3169567191065923,30,0.9048,57.382,9.817,107.841,25.523,0.1532,13.249,103.309,2
75838010,0.02543593813113978,24,8,0.3333,small,31.893,36.497,72.0,3.0,1.7320508075688772,20,0.7222,59.423,11.69,102.611,25.307,0.1304,15.057,68.516,4
75840329,0.04899032291817226,24,8,0.3333,small,32.621,34.14,60.0,2.5,1.2583057392117916,22,0.9667,61.927,11.467,118.204,26.585,0.1449,12.389,104.332,2
75840368,0.03734285775421496,28,8,0.2857,medium,33.555,34.049,72.0,2.5714285714285716,1.840585532389304,26,0.8611,63.695,11.392,121.817,27.91,0.1005,14.352,101.601,2
75843788,0.04964819661719561,32,12,0.375,medium,33.481,35.871,108.0,3.375,1.4947825928876748,28,0.9259,60.194,10.783,117.603,26.792,0.129,11.951,78.108,4
75843963,0.049903614797582825,36,12,0.3333,large,31.07,35.1,120.0,3.3333333333333335,1.7638342073763937,32,0.9,60.755,10.781,128.287,27.085,0.1492,11.744,34.029,4
75845040,0.026919205056746266,24,8,0.3333,small,35.349,36.968,56.0,2.3333333333333335,1.3743685418725535,22,0.9643,65.686,11.504,131.146,28.269,0.1304,14.168,67.461,2
75845161,0.030385043750260434,32,12,0.375,medium,31.987,37.293,88.0,2.75,1.1989578808281798,30,0.9545,62.487,10.575,125.136,27.817,0.1371,12.351,69.486,2
75845337,0.027477294499009843,32,16,0.5,medium,34.561,39.288,68.0,2.125,1.2686114456365274,28,0.9412,58.726,10.597,116.115,25.994,0.1452,13.488,70.921,4
75845704,0.03725462383905353,36,16,0.4444,large,34.634,39.93,64.0,1.7777777777777777,1.030402055055078,32,0.8125,60.281,9.838,120.075,26.865,0.1302,10.529,71.127,4
75847145,0.03386676898361264,36,20,0.5556,large,33.854,39.27,96.0,2.6666666666666665,1.414213562373095,32,0.9583,56.846,9.546,113.341,25.679,0.1556,9.546,42.339,4
75848499,0.03681109196027027,28,12,0.4286,medium,33.575,37.43,64.0,2.2857142857142856,1.2777531299998797,26,0.875,59.556,11.387,116.451,26.029,0.1323,11.571,73.76,2
75850159,0.02937319146103754,24,8,0.3333,small,33.797,35.205,72.0,3.0,1.2909944487358056,22,0.9722,62.271,10.324,117.028,27.468,0.1159,10.324,98.001,2
75850258,0.03169286962395433,36,16,0.4444,large,34.77,38.8,72.0,2.0,1.247219128924647,34,0.9167,59.445,9.936,113.956,26.426,0.1302,13.85,50.079,2
75850508,0.03308447876401456,24,8,0.3333,small,31.566,35.162,92.0,3.8333333333333335,0.8975274678557507,20,0.8261,59.356,12.272,101.994,25.209,0.1159,12.272,49.726,4
75851051,0.03076913051039511,28,12,0.4286,medium,35.942,38.133,68.0,2.4285714285714284,1.2936264483053452,26,0.9706,61.214,9.703,117.731,26.64,0.1217,9.703,64.218,2
75851214,0.025156718025911157,24,8,0.3333,small,38.111,38.519,44.0,1.8333333333333333,0.6871842709362769,22,0.9545,63.55,11.252,114.074,27.258,0.1014,18.724,98.478,2
75851849,0.04476510989066895,32,12,0.375,medium,33.288,36.564,108.0,3.375,1.2183492931011204,30,0.9074,60.935,11.494,129.342,27.188,0.129,13.838,72.888,2
75852143,0.03690131875160282,28,12,0.4286,medium,30.387,36.222,92.0,3.2857142857142856,1.5779087167410373,26,0.8913,56.552,12.913,108.702,24.546,0.1323,13.553,97.272,2
75852471,0.04419827199486033,24,8,0.3333,small,31.219,32.824,80.0,3.3333333333333335,1.4907119849998598,20,0.95,60.686,11.367,118.459,26.318,0.1159,11.367,83.763,4
75853717,0.047234159404702936,28,12,0.4286,medium,33.324,37.484,76.0,2.7142857142857144,1.2777531299998797,24,0.8421,60.321,11.564,120.756,26.739,0.1534,11.918,73.896,4
75853843,0.04919319694591413,28,12,0.4286,medium,30.65,34.154,80.0,2.857142857142857,1.2453996981544784,24,0.85,57.63,11.089,106.151,24.914,0.1323,11.089,34.424,4
75854043,0.030343031623155308,28,12,0.4286,medium,32.488,36.257,92.0,3.2857142857142856,1.7496355305594131,26,0.9783,59.408,9.909,110.166,26.271,0.164,9.909,105.08,2
75854436,0.0458050750946945,20,8,0.4,small,29.886,33.029,64.0,3.2,0.7483314773547882,16,0.75,58.124,11.771,107.544,24.055,0.1158,15.769,76.045,4
75854766,0.03552221302982737,32,12,0.375,medium,33.726,37.448,88.0,2.75,1.0897247358851685,28,0.9545,61.15,10.592,126.014,27.2,0.1048,11.375,73.386,4
75854976,0.0264428053112726,28,16,0.5714,medium,32.22,38.466,60.0,2.142857142857143,0.9897433186107872,26,0.9667,55.423,10.832,108.332,24.574,0.1746,11.86,76.933,2
75855112,0.03964665549736697,20,8,0.4,small,27.736,31.613,44.0,2.2,0.7483314773547883,18,0.8636,58.819,11.668,108.095,24.569,0.1579,11.668,63.226,2
75855494,0.046125811039834305,36,16,0.4444,large,33.088,39.338,104.0,2.888888888888889,1.5234788000891208,34,0.9808,59.76,10.418,121.925,27.148,0.1746,10.418,78.675,2
75856083,0.033134679040868184,32,12,0.375,medium,35.22,39.656,68.0,2.125,0.9270248108869579,30,0.8824,61.687,9.801,120.284,27.897,0.1371,12.764,60.423,2
75856289,0.038943258041356975,36,16,0.4444,large,34.709,37.863,84.0,2.3333333333333335,1.1547005383792515,34,0.9286,58.706,10.83,119.442,26.196,0.1111,11.81,96.551,2
75856880,0.04342091857440494,32,16,0.5,medium,33.428,37.725,60.0,1.875,0.9270248108869579,30,0.9,58.162,11.45,113.442,25.773,0.1452,12.948,95.89,2
75858039,0.03435691244905543,32,8,0.25,medium,32.131,35.856,60.0,1.875,1.2686114456365274,30,0.9333,61.729,9.707,118.19,27.245,0.129,12.383,56.813,2
75859612,0.03672900341023345,20,4,0.2,small,31.506,31.506,56.0,2.8,1.16619037896906,16,0.8571,64.132,14.79,111.462,26.377,0.0737,14.79,68.747,4
75862353,0.040844219730407375,24,8,0.3333,small,33.951,36.932,68.0,2.8333333333333335,1.3437096247164249,20,0.7647,61.488,11.17,114.052,26.726,0.1304,14.336,43.799,4
75862477,0.026935090662785016,28,12,0.4286,medium,32.502,39.659,52.0,1.8571428571428572,0.989743318610787,26,0.9615,58.73,10.075,109.854,26.007,0.164,11.634,79.318,2
75862678,0.0423989903238068,28,8,0.2857,medium,32.965,35.568,96.0,3.4285714285714284,1.3997084244475304,26,0.9167,61.526,12.519,112.785,26.567,0.1111,12.685,99.702,2
75863121,0.04813789498004327,32,12,0.375,medium,30.692,34.63,100.0,3.125,1.5360257159305635,28,0.84,58.607,11.997,112.144,25.588,0.129,12.358,79.298,4
75863142,0.025650545346577496,20,8,0.4,small,36.334,36.463,64.0,3.2,1.3266499161421599,16,0.8125,62.589,11.289,114.303,26.382,0.1368,11.289,51.567,4
75864159,0.0459690020069399,36,16,0.4444,large,32.175,36.932,76.0,2.111111111111111,1.594744454934147,34,0.9737,60.822,9.999,130.048,27.571,0.1619,9.999,130.048,2
75864891,0.03250464920879255,24,8,0.3333,small,31.031,32.782,76.0,3.1666666666666665,1.3437096247164249,20,0.9474,61.3,10.53,111.481,26.439,0.1159,10.53,78.829,4
75864911,0.03473681141210711,24,4,0.1667,small,28.238,28.238,60.0,2.5,1.5,20,0.9333,63.975,12.83,121.249,27.27,0.1159,12.83,85.736,4
75865456,0.03387118634978206,32,12,0.375,medium,28.941,34.331,68.0,2.125,1.2686114456365274,28,0.9412,59.12,9.771,119.36,26.501,0.1694,10.513,30.557,4
75866275,0.03526745899207557,36,20,0.5556,large,34.956,38.58,68.0,1.8888888888888888,1.2862041003100253,34,0.9706,57.807,9.14,122.102,26.189,0.1429,9.14,76.127,2
