episode_id,player_idx,n_steps_total,t_soft,t_hard,phase_t_soft,phase_t_hard,direction,t_window_start,window_size,final_label,consistent,sanity_ok
75796408,1,261,232,258,0.8923,0.9923,loss,180,52,0,1,1
75797343,0,128,99,105,0.7795,0.8268,win,74,25,1,1,1
75797343,1,128,99,105,0.7795,0.8268,loss,74,25,0,1,1
75798580,0,117,71,104,0.6121,0.8966,loss,48,23,0,1,1
75798580,1,117,71,104,0.6121,0.8966,win,48,23,1,1,1
75812685,0,500,81,138,0.1623,0.2766,loss,0,81,0,1,1
75812685,1,500,81,138,0.1623,0.2766,win,0,81,1,1,1
75813241,0,500,96,111,0.1924,0.2224,win,0,96,1,1,1
75813241,1,500,105,111,0.2104,0.2224,loss,5,100,0,1,1
75815070,0,136,102,120,0.7556,0.8889,loss,75,27,0,1,1
75815070,1,136,78,120,0.5778,0.8889,win,51,27,1,1,1
75815433,0,121,71,113,0.5917,0.9417,win,47,24,1,1,1
75815433,1,121,77,113,0.6417,0.9417,loss,53,24,0,1,1
75815465,0,190,98,175,0.5185,0.9259,loss,60,38,0,1,1
75815465,1,190,98,175,0.5185,0.9259,win,60,38,1,1,1
75816639,0,174,146,164,0.8439,0.948,loss,112,34,0,1,1
75816639,1,174,146,164,0.8439,0.948,win,112,34,1,1,1
75818582,0,132,84,117,0.6412,0.8931,loss,58,26,0,1,1
75818582,1,132,84,117,0.6412,0.8931,win,58,26,1,1,1
75823093,0,190,135,179,0.7143,0.9471,loss,97,38,0,1,1
75823093,1,190,133,179,0.7037,0.9471,win,95,38,1,1,1
75825240,0,107,64,92,0.6038,0.8679,win,43,21,1,1,1
75825240,1,107,66,92,0.6226,0.8679,loss,45,21,0,1,1
75825491,0,134,97,118,0.7293,0.8872,win,71,26,1,1,1
75825491,1,134,97,118,0.7293,0.8872,loss,71,26,0,1,1
75826720,0,99,67,82,0.6837,0.8367,win,48,19,1,1,1
75826720,1,99,67,82,0.6837,0.8367,loss,48,19,0,1,1
75827029,0,137,120,126,0.8824,0.9265,loss,93,27,0,1,1
75827029,1,137,120,126,0.8824,0.9265,win,93,27,1,1,1
75828924,0,127,85,116,0.6746,0.9206,win,60,25,1,1,1
75828924,1,127,89,116,0.7063,0.9206,loss,64,25,0,1,1
75835292,0,141,91,112,0.65,0.8,loss,63,28,0,1,1
75835292,1,141,90,112,0.6429,0.8,win,62,28,1,1,1
75836803,0,500,128,168,0.2565,0.3367,loss,28,100,0,1,1
75836803,1,500,128,168,0.2565,0.3367,win,28,100,1,1,1
75837587,0,196,143,182,0.7333,0.9333,loss,104,39,0,1,1
75837587,1,196,139,182,0.7128,0.9333,win,100,39,1,1,1
75837588,0,105,63,92,0.6058,0.8846,loss,42,21,0,1,1
75837588,1,105,57,92,0.5481,0.8846,win,36,21,1,1,1
75840329,0,141,105,131,0.75,0.9357,loss,77,28,0,1,1
75840329,1,141,105,131,0.75,0.9357,win,77,28,1,1,1
75840368,0,125,76,119,0.6129,0.9597,loss,51,25,0,1,1
75840368,1,125,76,119,0.6129,0.9597,win,51,25,1,1,1
75845040,0,128,83,123,0.6535,0.9685,win,58,25,1,1,1
75845040,1,128,84,119,0.6614,0.937,loss,59,25,0,1,1
75845161,0,89,37,49,0.4205,0.5568,win,20,17,1,1,1
75845161,1,89,37,49,0.4205,0.5568,loss,20,17,0,1,1
75848499,0,144,107,135,0.7483,0.9441,loss,79,28,0,1,1
75848499,1,144,100,135,0.6993,0.9441,win,72,28,1,1,1
75850159,0,306,76,108,0.2492,0.3541,win,15,61,1,1,1
75850159,1,306,82,108,0.2689,0.3541,loss,21,61,0,1,1
75850258,0,122,84,102,0.6942,0.843,loss,60,24,0,1,1
75850258,1,122,84,102,0.6942,0.843,win,60,24,1,1,1
75851051,0,207,174,191,0.8447,0.9272,loss,133,41,0,1,1
75851051,1,207,168,191,0.8155,0.9272,win,127,41,1,1,1
75851214,0,162,125,152,0.7764,0.9441,win,93,32,1,1,1
75851214,1,162,131,152,0.8137,0.9441,loss,99,32,0,1,1
75851849,0,89,45,78,0.5114,0.8864,loss,28,17,0,1,1
75851849,1,89,45,78,0.5114,0.8864,win,28,17,1,1,1
75852143,0,292,128,155,0.4399,0.5326,win,70,58,1,1,1
75852143,1,292,130,155,0.4467,0.5326,loss,72,58,0,1,1
75854043,0,203,164,198,0.8119,0.9802,win,124,40,1,1,1
75854043,1,203,170,198,0.8416,0.9802,loss,130,40,0,1,1
75854976,0,160,103,145,0.6478,0.9119,win,71,32,1,1,1
75854976,1,160,124,145,0.7799,0.9119,loss,92,32,0,1,1
75855112,0,130,90,115,0.6977,0.8915,win,64,26,1,1,1
75855112,1,130,90,115,0.6977,0.8915,loss,64,26,0,1,1
75855494,0,500,135,156,0.2705,0.3126,win,35,100,1,1,1
75855494,1,500,135,156,0.2705,0.3126,loss,35,100,0,1,1
75856083,0,187,82,154,0.4409,0.828,win,45,37,1,1,1
75856083,1,187,83,154,0.4462,0.828,loss,46,37,0,1,1
75856289,0,168,95,100,0.5689,0.5988,loss,62,33,0,1,1
75856289,1,168,95,100,0.5689,0.5988,win,62,33,1,1,1
75856880,0,130,72,107,0.5581,0.8295,win,46,26,1,1,1
75856880,1,130,73,107,0.5659,0.8295,loss,47,26,0,1,1
75858039,0,178,121,157,0.6836,0.887,win,86,35,1,1,1
75858039,1,178,121,157,0.6836,0.887,loss,86,35,0,1,1
75862477,0,202,161,189,0.801,0.9403,loss,121,40,0,1,1
75862477,1,202,160,189,0.796,0.9403,win,120,40,1,1,1
75862678,0,142,113,132,0.8014,0.9362,win,85,28,1,1,1
75862678,1,142,113,132,0.8014,0.9362,loss,85,28,0,1,1
75864159,0,152,116,128,0.7682,0.8477,win,86,30,1,1,1
75864159,1,152,116,128,0.7682,0.8477,loss,86,30,0,1,1
75866275,0,231,184,211,0.8,0.9174,loss,138,46,0,1,1
75866275,1,231,182,211,0.7913,0.9174,win,136,46,1,1,1
75867151,0,257,199,230,0.7773,0.8984,loss,148,51,0,1,1
75867151,1,257,199,230,0.7773,0.8984,win,148,51,1,1,1
75870117,0,119,97,113,0.822,0.9576,win,74,23,1,1,1
75870117,1,119,97,113,0.822,0.9576,loss,74,23,0,1,1
75872623,0,159,105,149,0.6646,0.943,loss,74,31,0,1,1
75872623,1,159,105,149,0.6646,0.943,win,74,31,1,1,1
75874543,0,148,107,136,0.7279,0.9252,win,78,29,1,1,1
75874543,1,148,109,136,0.7415,0.9252,loss,80,29,0,1,1
75875734,0,119,71,106,0.6017,0.8983,win,48,23,1,1,1
75875734,1,119,71,106,0.6017,0.8983,loss,48,23,0,1,1
75877534,0,249,168,199,0.6774,0.8024,win,119,49,1,1,1
75877534,1,249,168,199,0.6774,0.8024,loss,119,49,0,1,1
75878390,0,168,115,155,0.6886,0.9281,loss,82,33,0,1,1
75878390,1,168,112,155,0.6707,0.9281,win,79,33,1,1,1
75880085,0,216,182,205,0.8465,0.9535,win,139,43,1,1,1
75880085,1,216,182,205,0.8465,0.9535,loss,139,43,0,1,1
75888085,0,158,115,148,0.7325,0.9427,loss,84,31,0,1,1
75888085,1,158,115,148,0.7325,0.9427,win,84,31,1,1,1
75888091,0,160,124,150,0.7799,0.9434,win,92,32,1,1,1
75888091,1,160,124,150,0.7799,0.9434,loss,92,32,0,1,1
75888282,0,143,94,126,0.662,0.8873,win,66,28,1,1,1
75888282,1,143,96,126,0.6761,0.8873,loss,68,28,0,1,1
75890927,0,132,66,124,0.5038,0.9466,loss,40,26,0,1,1
75890927,1,132,66,124,0.5038,0.9466,win,40,26,1,1,1
75890977,0,266,219,246,0.8264,0.9283,win,166,53,1,1,1
75890977,1,266,219,246,0.8264,0.9283,loss,166,53,0,1,1
75890978,0,186,120,166,0.6486,0.8973,loss,83,37,0,1,1
75890978,1,186,96,166,0.5189,0.8973,win,59,37,1,1,1
75891081,0,116,66,98,0.5739,0.8522,loss,43,23,0,1,1
75891081,1,116,66,98,0.5739,0.8522,win,43,23,1,1,1
75891671,0,195,140,183,0.7216,0.9433,win,101,39,1,1,1
75891671,1,195,141,183,0.7268,0.9433,loss,102,39,0,1,1
75891694,0,257,182,201,0.7109,0.7852,loss,131,51,0,1,1
75891694,1,257,181,216,0.707,0.8438,win,130,51,1,1,1
75892238,0,167,123,151,0.741,0.9096,loss,90,33,0,1,1
75892238,1,167,123,151,0.741,0.9096,win,90,33,1,1,1
75892635,0,187,141,178,0.7581,0.957,win,104,37,1,1,1
75892635,1,187,141,178,0.7581,0.957,loss,104,37,0,1,1
75896280,0,168,120,138,0.7186,0.8263,loss,87,33,0,1,1
75896280,1,168,120,138,0.7186,0.8263,win,87,33,1,1,1
75896918,0,199,170,189,0.8586,0.9545,loss,131,39,0,1,1
75896918,1,199,145,189,0.7323,0.9545,win,106,39,1,1,1
75897382,0,314,281,285,0.8978,0.9105,loss,219,62,0,1,1
75897382,1,314,277,285,0.885,0.9105,win,215,62,1,1,1
75898362,0,166,125,145,0.7576,0.8788,win,92,33,1,1,1
75898362,1,166,134,145,0.8121,0.8788,loss,101,33,0,1,1
75898624,0,126,85,109,0.68,0.872,loss,60,25,0,1,1
75898624,1,126,84,109,0.672,0.872,win,59,25,1,1,1
75899927,0,500,256,291,0.513,0.5832,loss,156,100,0,1,1
75899927,1,500,251,291,0.503,0.5832,win,151,100,1,1,1
75900177,0,201,165,188,0.825,0.94,win,125,40,1,1,1
75900177,1,201,170,188,0.85,0.94,loss,130,40,0,1,1
75900368,0,217,149,200,0.6898,0.9259,loss,106,43,0,1,1
75900368,1,217,149,200,0.6898,0.9259,win,106,43,1,1,1
75902962,0,155,101,142,0.6558,0.9221,loss,70,31,0,1,1
75902962,1,155,88,142,0.5714,0.9221,win,57,31,1,1,1
75905839,0,94,30,82,0.3226,0.8817,loss,12,18,0,1,1
75905839,1,94,30,82,0.3226,0.8817,win,12,18,1,1,1
75907512,0,100,54,85,0.5455,0.8586,loss,34,20,0,1,1
75907512,1,100,54,85,0.5455,0.8586,win,34,20,1,1,1
75908621,0,198,132,154,0.6701,0.7817,win,93,39,1,1,1
75908621,1,198,139,154,0.7056,0.7817,loss,100,39,0,1,1
75909283,0,275,234,266,0.854,0.9708,loss,179,55,0,1,1
75909283,1,275,234,266,0.854,0.9708,win,179,55,1,1,1
75909889,0,96,72,85,0.7579,0.8947,win,53,19,1,1,1
75909889,1,96,72,85,0.7579,0.8947,loss,53,19,0,1,1
75910559,0,148,123,139,0.8367,0.9456,win,94,29,1,1,1
75910559,1,148,123,139,0.8367,0.9456,loss,94,29,0,1,1
75911938,0,176,136,168,0.7771,0.96,win,101,35,1,1,1
75911938,1,176,136,168,0.7771,0.96,loss,101,35,0,1,1
75912766,0,159,115,143,0.7278,0.9051,win,84,31,1,1,1
75912766,1,159,115,143,0.7278,0.9051,loss,84,31,0,1,1
75914931,0,500,68,423,0.1363,0.8477,loss,0,68,0,1,1
75914931,1,500,50,423,0.1002,0.8477,win,0,50,1,1,1
75915235,0,148,83,121,0.5646,0.8231,loss,54,29,0,1,1
75915235,1,148,83,121,0.5646,0.8231,win,54,29,1,1,1
75918336,0,117,79,114,0.681,0.9828,loss,56,23,0,1,1
75918336,1,117,79,114,0.681,0.9828,win,56,23,1,1,1
75920012,0,162,100,118,0.6211,0.7329,win,68,32,1,1,1
75920012,1,162,100,118,0.6211,0.7329,loss,68,32,0,1,1
75921657,0,105,67,92,0.6442,0.8846,loss,46,21,0,1,1
75921657,1,105,67,92,0.6442,0.8846,win,46,21,1,1,1
75921661,0,82,59,70,0.7284,0.8642,loss,43,16,0,1,1
75921661,1,82,44,70,0.5432,0.8642,win,28,16,1,1,1
75927019,0,174,102,117,0.5896,0.6763,loss,68,34,0,1,1
75927019,1,174,102,117,0.5896,0.6763,win,68,34,1,1,1
75927660,0,158,115,149,0.7325,0.949,win,84,31,1,1,1
75927660,1,158,115,149,0.7325,0.949,loss,84,31,0,1,1
75927875,0,201,112,133,0.56,0.665,win,72,40,1,1,1
75927875,1,201,112,133,0.56,0.665,loss,72,40,0,1,1
75928517,0,152,102,140,0.6755,0.9272,win,72,30,1,1,1
75928517,1,152,102,140,0.6755,0.9272,loss,72,30,0,1,1
75929958,0,162,109,138,0.677,0.8571,win,77,32,1,1,1
75929958,1,162,112,138,0.6957,0.8571,loss,80,32,0,1,1
75930440,0,186,135,159,0.7297,0.8595,win,98,37,1,1,1
75930440,1,186,135,159,0.7297,0.8595,loss,98,37,0,1,1
75930516,0,194,147,183,0.7617,0.9482,win,109,38,1,1,1
75930516,1,194,147,183,0.7617,0.9482,loss,109,38,0,1,1
75930627,0,177,120,165,0.6818,0.9375,win,85,35,1,1,1
75930627,1,177,143,165,0.8125,0.9375,loss,108,35,0,1,1
75930684,0,264,214,226,0.8137,0.8593,win,162,52,1,1,1
75930684,1,264,214,226,0.8137,0.8593,loss,162,52,0,1,1
75936669,0,196,156,184,0.8,0.9436,win,117,39,1,1,1
75936669,1,196,161,184,0.8256,0.9436,loss,122,39,0,1,1
75937738,0,204,170,194,0.8374,0.9557,loss,130,40,0,1,1
75937738,1,204,168,194,0.8276,0.9557,win,128,40,1,1,1
75938056,0,99,76,88,0.7755,0.898,loss,57,19,0,1,1
75938056,1,99,76,88,0.7755,0.898,win,57,19,1,1,1
75938189,0,140,96,116,0.6906,0.8345,loss,68,28,0,1,1
75938189,1,140,96,116,0.6906,0.8345,win,68,28,1,1,1
75939046,0,146,119,134,0.8207,0.9241,win,90,29,1,1,1
75939046,1,146,123,134,0.8483,0.9241,loss,94,29,0,1,1
75940913,0,124,81,115,0.6585,0.935,win,57,24,1,1,1
75940913,1,124,85,115,0.6911,0.935,loss,61,24,0,1,1
75941873,0,114,82,97,0.7257,0.8584,loss,60,22,0,1,1
75941873,1,114,82,97,0.7257,0.8584,win,60,22,1,1,1
75942176,0,147,97,121,0.6644,0.8288,win,68,29,1,1,1
75942176,1,147,112,121,0.7671,0.8288,loss,83,29,0,1,1
75942366,0,205,122,166,0.598,0.8137,win,81,41,1,1,1
75942366,1,205,130,166,0.6373,0.8137,loss,89,41,0,1,1
75943167,0,215,168,201,0.785,0.9393,loss,125,43,0,1,1
75943167,1,215,157,201,0.7336,0.9393,win,114,43,1,1,1
75943919,0,154,123,140,0.8039,0.915,loss,93,30,0,1,1
75943919,1,154,122,140,0.7974,0.915,win,92,30,1,1,1
75955697,0,98,64,85,0.6598,0.8763,win,45,19,1,1,1
75955697,1,98,64,85,0.6598,0.8763,loss,45,19,0,1,1
75956569,0,500,30,79,0.0601,0.1583,loss,0,30,0,1,1
75956569,1,500,30,79,0.0601,0.1583,win,0,30,1,1,1
75957995,0,113,66,103,0.5893,0.9196,loss,44,22,0,1,1
75957995,1,113,66,103,0.5893,0.9196,win,44,22,1,1,1
75959127,0,304,148,213,0.4884,0.703,win,88,60,1,1,1
75959127,1,304,158,213,0.5215,0.703,loss,98,60,0,1,1
75963975,0,187,19,52,0.1022,0.2796,win,0,19,1,1,1
75963975,1,187,19,52,0.1022,0.2796,loss,0,19,0,1,1
75964932,0,178,50,116,0.2825,0.6554,win,15,35,1,1,1
75964932,1,178,50,116,0.2825,0.6554,loss,15,35,0,1,1
75969960,0,500,81,110,0.1623,0.2204,loss,0,81,0,1,1
75969960,1,500,81,110,0.1623,0.2204,win,0,81,1,1,1
75970255,0,150,118,136,0.7919,0.9128,win,88,30,1,1,1
75970255,1,150,121,136,0.8121,0.9128,loss,91,30,0,1,1
75970330,0,157,125,145,0.8013,0.9295,win,94,31,1,1,1
75970330,1,157,128,145,0.8205,0.9295,loss,97,31,0,1,1
75972657,0,153,93,110,0.6118,0.7237,win,63,30,1,1,1
75972657,1,153,93,110,0.6118,0.7237,loss,63,30,0,1,1
75972841,0,152,84,134,0.5563,0.8874,loss,54,30,0,1,1
75972841,1,152,84,134,0.5563,0.8874,win,54,30,1,1,1
75976337,0,219,155,189,0.711,0.867,loss,112,43,0,1,1
75976337,1,219,155,189,0.711,0.867,win,112,43,1,1,1
75979513,0,127,64,117,0.5079,0.9286,loss,39,25,0,1,1
75979513,1,127,64,117,0.5079,0.9286,win,39,25,1,1,1
75984949,0,192,143,167,0.7487,0.8743,win,105,38,1,1,1
75984949,1,192,144,167,0.7539,0.8743,loss,106,38,0,1,1
75995342,0,214,121,159,0.5681,0.7465,loss,79,42,0,1,1
75995342,1,214,121,159,0.5681,0.7465,win,79,42,1,1,1
75997234,0,143,116,132,0.8169,0.9296,loss,88,28,0,1,1
75997234,1,143,106,132,0.7465,0.9296,win,78,28,1,1,1
75998277,0,129,67,88,0.5234,0.6875,loss,42,25,0,1,1
75998277,1,129,57,88,0.4453,0.6875,win,32,25,1,1,1
75999774,0,91,39,74,0.4333,0.8222,win,21,18,1,1,1
75999774,1,91,65,74,0.7222,0.8222,loss,47,18,0,1,1
76012428,0,160,89,127,0.5597,0.7987,loss,57,32,0,1,1
76012428,1,160,89,131,0.5597,0.8239,win,57,32,1,1,1
76020372,0,174,81,132,0.4682,0.763,loss,47,34,0,1,1
76020372,1,174,81,132,0.4682,0.763,win,47,34,1,1,1
76022872,0,187,122,142,0.6559,0.7634,loss,85,37,0,1,1
76022872,1,187,122,142,0.6559,0.7634,win,85,37,1,1,1
76023273,0,105,77,100,0.7404,0.9615,loss,56,21,0,1,1
76023273,1,105,77,100,0.7404,0.9615,win,56,21,1,1,1
76032608,0,86,4,49,0.0471,0.5765,win,0,4,1,1,1
76032608,1,86,4,49,0.0471,0.5765,loss,0,4,0,1,1
76042700,0,143,110,123,0.7746,0.8662,loss,82,28,0,1,1
76042700,1,143,110,123,0.7746,0.8662,win,82,28,1,1,1
76042942,0,142,104,138,0.7376,0.9787,loss,76,28,0,1,1
76042942,1,142,92,138,0.6525,0.9787,win,64,28,1,1,1
76045205,0,206,130,171,0.6341,0.8341,win,89,41,1,1,1
76045205,1,206,130,171,0.6341,0.8341,loss,89,41,0,1,1
76045306,0,142,67,114,0.4752,0.8085,win,39,28,1,1,1
76045306,1,142,71,114,0.5035,0.8085,loss,43,28,0,1,1
76050389,0,120,77,87,0.6471,0.7311,win,53,24,1,1,1
76050389,1,120,77,87,0.6471,0.7311,loss,53,24,0,1,1
76056759,0,172,83,109,0.4854,0.6374,win,49,34,1,1,1
76056759,1,172,83,109,0.4854,0.6374,loss,49,34,0,1,1
76057451,0,459,395,420,0.8624,0.917,win,304,91,1,1,1
76057451,1,459,395,420,0.8624,0.917,loss,304,91,0,1,1
76057722,0,198,114,128,0.5787,0.6497,win,75,39,1,1,1
76057722,1,198,114,128,0.5787,0.6497,loss,75,39,0,1,1
76064593,0,127,91,116,0.7222,0.9206,win,66,25,1,1,1
76064593,1,127,91,116,0.7222,0.9206,loss,66,25,0,1,1
76071073,0,127,84,104,0.6667,0.8254,loss,59,25,0,1,1
76071073,1,127,81,104,0.6429,0.8254,win,56,25,1,1,1
76079057,0,183,135,171,0.7418,0.9396,win,99,36,1,1,1
76079057,1,183,145,171,0.7967,0.9396,loss,109,36,0,1,1
76089271,0,149,112,129,0.7568,0.8716,loss,83,29,0,1,1
76089271,1,149,111,129,0.75,0.8716,win,82,29,1,1,1
76093064,0,136,95,127,0.7037,0.9407,loss,68,27,0,1,1
76093064,1,136,92,127,0.6815,0.9407,win,65,27,1,1,1
76100756,0,195,171,182,0.8814,0.9381,win,132,39,1,1,1
76100756,1,195,173,182,0.8918,0.9381,loss,134,39,0,1,1
76101203,0,80,18,52,0.2278,0.6582,win,2,16,1,1,1
76101203,1,80,18,52,0.2278,0.6582,loss,2,16,0,1,1
76106874,0,153,110,140,0.7237,0.9211,win,80,30,1,1,1
76106874,1,153,110,140,0.7237,0.9211,loss,80,30,0,1,1
76109496,0,367,306,336,0.8361,0.918,loss,233,73,0,1,1
76109496,1,367,301,336,0.8224,0.918,win,228,73,1,1,1
76115985,0,123,82,110,0.6721,0.9016,win,58,24,1,1,1
76115985,1,123,82,110,0.6721,0.9016,loss,58,24,0,1,1
76126973,0,167,98,131,0.5904,0.7892,win,65,33,1,1,1
76126973,1,167,98,131,0.5904,0.7892,loss,65,33,0,1,1
76126987,0,149,99,141,0.6689,0.9527,win,70,29,1,1,1
76126987,1,149,99,141,0.6689,0.9527,loss,70,29,0,1,1
76135954,0,135,98,115,0.7313,0.8582,loss,71,27,0,1,1
76135954,1,135,95,115,0.709,0.8582,win,68,27,1,1,1
76139036,0,141,84,119,0.6,0.85,loss,56,28,0,1,1
76139036,1,141,72,119,0.5143,0.85,win,44,28,1,1,1
76151155,0,183,88,128,0.4835,0.7033,loss,52,36,0,1,1
76151155,1,183,84,128,0.4615,0.7033,win,48,36,1,1,1
76155798,0,146,103,116,0.7103,0.8,win,74,29,1,1,1
76155798,1,146,103,116,0.7103,0.8,loss,74,29,0,1,1
76162286,0,168,138,139,0.8263,0.8323,loss,105,33,0,1,1
76162286,1,168,138,139,0.8263,0.8323,win,105,33,1,1,1
76166997,0,116,29,88,0.2522,0.7652,win,6,23,1,1,1
76166997,1,116,59,88,0.513,0.7652,loss,36,23,0,1,1
76168171,0,100,28,75,0.2828,0.7576,win,8,20,1,1,1
76168171,1,100,28,75,0.2828,0.7576,loss,8,20,0,1,1
76169387,0,173,91,127,0.5291,0.7384,loss,57,34,0,1,1
76169387,1,173,88,127,0.5116,0.7384,win,54,34,1,1,1
76176665,0,147,74,87,0.5068,0.5959,win,45,29,1,1,1
76176665,1,147,75,87,0.5137,0.5959,loss,46,29,0,1,1
76201225,0,186,122,151,0.6595,0.8162,win,85,37,1,1,1
76201225,1,186,122,151,0.6595,0.8162,loss,85,37,0,1,1
76202954,0,119,55,66,0.4661,0.5593,loss,32,23,0,1,1
76202954,1,119,55,66,0.4661,0.5593,win,32,23,1,1,1
76216437,0,152,58,108,0.3841,0.7152,loss,28,30,0,1,1
76216437,1,152,58,108,0.3841,0.7152,win,28,30,1,1,1
76227451,0,238,188,192,0.7932,0.8101,win,141,47,1,1,1
76227451,1,238,188,192,0.7932,0.8101,loss,141,47,0,1,1
76242405,0,157,99,142,0.6346,0.9103,win,68,31,1,1,1
76242405,1,157,106,142,0.6795,0.9103,loss,75,31,0,1,1
76243092,0,203,138,184,0.6832,0.9109,win,98,40,1,1,1
76243092,1,203,138,184,0.6832,0.9109,loss,98,40,0,1,1
76249460,0,185,138,153,0.75,0.8315,loss,101,37,0,1,1
76249460,1,185,135,153,0.7337,0.8315,win,98,37,1,1,1
76255902,0,167,129,145,0.7771,0.8735,loss,96,33,0,1,1
76255902,1,167,125,145,0.753,0.8735,win,92,33,1,1,1
